"raw","canonical","slot","lang","priority","rule_type","review_status","ambiguity","tags","source","note"
"飞越","Flyover","motion","zh","100","phrase","keep","low","flyby","manual",""
"冲过","Rushby","motion","zh","100","phrase","keep","low","movement","manual",""
"长尾","Long Tail","detail","zh","100","phrase","keep","low","tail","manual",""
"尾音长","Long Tail","detail","zh","100","phrase","keep","low","tail","manual",""
"短促","Short","detail","zh","100","phrase","keep","low","length","manual",""
"硬","Hard","detail","zh","80","stable_single","keep","low","texture","manual",""
"柔软","Soft","detail","zh","80","phrase","keep","low","texture","manual",""
"重","Heavy","detail","zh","85","stable_single","keep","low","weight","manual",""
"轻","Light","detail","zh","85","stable_single","keep","low","weight","manual",""
"快速","Fast","detail","zh","90","phrase","keep","low","speed","manual",""
"缓慢","Slow","detail","zh","90","phrase","keep","low","speed","manual",""
"单次","Single","detail","zh","100","phrase","keep","low","count","manual",""
"连续","Continuous","detail","zh","100","phrase","keep","low","count","manual",""
"双重","Double","detail","zh","100","phrase","keep","low","count","manual",""
"多次","Multiple","detail","zh","100","phrase","keep","low","count","manual",""
"干脆","Crisp","detail","zh","100","phrase","keep","low","texture","manual",""
"沉闷","Dull","detail","zh","100","phrase","keep","low","texture","manual",""
"明亮","Bright","detail","zh","100","phrase","keep","low","tone","manual",""
"尖锐","Sharp","detail","zh","100","phrase","keep","low","tone","manual",""
"低沉","Deep","detail","zh","100","phrase","keep","low","tone","manual",""
"高频","High Frequency","detail","zh","100","phrase","keep","low","frequency","manual",""
"低频","Low Frequency","detail","zh","100","phrase","keep","low","frequency","manual",""
"厚重","Heavy","detail","zh","100","phrase","keep","low","weight","manual",""
"微小","Tiny","detail","zh","100","phrase","keep","low","size","manual",""
"巨大","Huge","detail","zh","100","phrase","keep","low","size","manual",""
"短尾","Short Tail","detail","zh","100","phrase","keep","low","tail","manual",""
"长混响","Long Reverb","detail","zh","100","phrase","keep","low","reverb","manual",""
"短混响","Short Reverb","detail","zh","100","phrase","keep","low","reverb","manual",""
"干声","Dry","detail","zh","100","phrase","keep","low","reverb","manual",""
"湿声","Wet","detail","zh","100","phrase","keep","low","reverb","manual",""
"细小","Small","detail","zh","100","phrase","keep","low","size","manual",""
"强烈","Intense","detail","zh","100","phrase","keep","low","intensity","manual",""
"室内","Interior","modifier","zh","100","phrase","keep","low","perspective","manual",""
"室外","Exterior","modifier","zh","100","phrase","keep","low","perspective","manual",""
"远处","Distant","modifier","zh","100","phrase","keep","low","perspective","manual",""
"近处","Close","modifier","zh","100","phrase","keep","low","perspective","manual",""
"水下","Underwater","modifier","zh","100","phrase","keep","low","perspective","manual",""
"空旷","Open","modifier","zh","100","phrase","keep","low","space","manual",""
"封闭","Enclosed","modifier","zh","100","phrase","keep","low","space","manual",""
"空房间","Empty Room","modifier","zh","100","phrase","keep","low","space","manual",""
"大空间","Large Space","modifier","zh","100","phrase","keep","low","space","manual",""
"小空间","Small Space","modifier","zh","100","phrase","keep","low","space","manual",""
"地下室","Basement","modifier","zh","100","phrase","keep","low","space","manual",""
"户外","Outdoor","modifier","zh","100","phrase","keep","low","perspective","manual",""
"外部","Exterior","modifier","zh","100","phrase","keep","low","perspective","manual",""
"内部","Interior","modifier","zh","100","phrase","keep","low","perspective","manual",""
"左侧","Left","modifier","zh","100","phrase","keep","low","direction","manual",""
"右侧","Right","modifier","zh","100","phrase","keep","low","direction","manual",""
"前方","Front","modifier","zh","100","phrase","keep","low","direction","manual",""
"后方","Rear","modifier","zh","100","phrase","keep","low","direction","manual",""
"上方","Above","modifier","zh","100","phrase","keep","low","direction","manual",""
"下方","Below","modifier","zh","100","phrase","keep","low","direction","manual",""
"中心","Center","modifier","zh","100","phrase","keep","low","direction","manual",""
"环绕声","Surround","modifier","zh","100","phrase","keep","low","perspective","manual",""
"混响","Reverberant","modifier","zh","100","phrase","keep","low","reverb","manual",""
"无混响","Dry","modifier","zh","100","phrase","keep","low","reverb","manual",""
"远景","Distant","modifier","zh","100","phrase","keep","low","perspective","manual",""
"近景","Close","modifier","zh","100","phrase","keep","low","perspective","manual",""
"头顶","Overhead","modifier","zh","100","phrase","keep","low","direction","manual",""
"背后","Behind","modifier","zh","100","phrase","keep","low","direction","manual",""
"开阔","Open","modifier","zh","100","phrase","keep","low","space","manual",""
"密闭","Enclosed","modifier","zh","100","phrase","keep","low","space","manual",""
"刮过","Scrape Across","action","zh","85","phrase","keep","medium","scrape","manual","强调横穿表面"
"来回摩擦","Rub","action","zh","90","phrase","keep","low","rub","manual","具体来回动作"
"蹭","Rub","action","zh","70","stable_single_low_confidence","keep","medium","rub/scuff","manual","可能也可 Scuff"
"剐蹭","Scuff","action","zh","85","phrase","keep","medium","scuff","manual","轻微碰擦"
"划","Scratch","action","zh","75","stable_single_low_confidence","keep","medium","scratch/slash","manual","默认表面划痕"
"打","","action","zh","0","ambiguous_single","review","high","hit/knock/fire/play","manual","太宽"
"击","","action","zh","0","suffix_only","review","high","hit/impact/strike","manual","通常是组合词后缀"
"碰","","action","zh","0","ambiguous_single","review","high","touch/bump/impact/clink","manual","力度不明"
"响","","unknown","zh","0","weak_token","review","high","ring/sound/resonance","manual","结果词不是动作"
"动","","unknown","zh","0","weak_token","review","high","move/motion","manual","信息量太低"
"甩","","motion","zh","0","ambiguous_single","review","high","swing/flick/whip/flap","manual","对象决定英文"
"打门","Door Knock","action","zh","95","phrase","keep","low","door","manual",""
"砸门","Door Bang","action","zh","90","phrase","keep","medium","door","manual",""
"敲门","Door Knock","action","zh","100","phrase","keep","low","door","manual",""
"打鼓","Drum Hit","action","zh","95","phrase","keep","low","drum","manual",""
"打枪","Gun Fire","action","zh","95","phrase","keep","low","gun","manual",""
"碰杯","Glass Clink","action","zh","100","phrase","keep","low","glass","manual",""
"轻碰","Bump","action","zh","80","phrase","keep","medium","bump","manual",""
"甩衣服","Cloth Flap","motion","zh","90","phrase","keep","medium","cloth","manual",""
"甩鞭","Whip Crack","motion","zh","95","phrase","keep","low","whip","manual",""
"铃响","Bell Ring","action","zh","100","phrase","keep","low","bell/ring","manual","batch_repair_v0.2 governed phrase update"
"金属响","Metal Resonance","detail","zh","80","phrase","keep","medium","metal/resonance","manual",
"擦蹭","Friction","action","zh","95","phrase","keep","low","friction","manual","batch_repair_v0.1 natural alias"
"磨蹭","Friction","action","zh","90","phrase","keep","low","friction/rub","manual","batch_repair_v0.1 reviewed surface alias"
"铁链","Chain","object","zh","95","phrase","keep","low","chain","manual","batch_repair_v0.1 natural object alias"
"锁链","Chain","object","zh","95","phrase","keep","low","chain","manual","batch_repair_v0.1 natural object alias"
"桌边","Table","object","zh","90","phrase","keep","low","table","manual","batch_repair_v0.1 contextual object alias"
"滑过","Slide","action","zh","85","phrase","keep","medium","slide","manual","batch_repair_v0.1 contextual action alias"
"打字","Keyboard Typing","action","zh","100","phrase","keep","low","keyboard/typing","manual","batch_repair_v0.1 governed phrase"
"打雷","Thunder Rumble","action","zh","100","phrase","keep","low","thunder","manual","batch_repair_v0.1 governed phrase"
"打滑轮胎","Tire Skid","action","zh","100","phrase","keep","low","tire/skid","manual","batch_repair_v0.1 governed phrase"
"车轮打滑","Tire Skid","action","zh","100","phrase","keep","low","tire/skid","manual","batch_repair_v0.1 governed phrase"
"转旋钮","Knob Turn","action","zh","100","phrase","keep","low","knob/turn","manual","batch_repair_v0.1 governed phrase"
"关保险柜","Safe Close","action","zh","100","phrase","keep","low","safe/close","manual","batch_repair_v0.1 governed phrase"
"打火机","Lighter Click","action","zh","100","phrase","keep","low","lighter/click","manual","batch_repair_v0.1 governed phrase"
"打水漂","Stone Skip Water","action","zh","100","phrase","keep","low","stone/water","manual","batch_repair_v0.1 governed phrase"
"打蛋","Egg Whisk","action","zh","100","phrase","keep","low","egg/whisk","manual","batch_repair_v0.1 governed phrase"
"碰到麦架","Mic Stand Bump","action","zh","100","phrase","keep","low","mic/stand/bump","manual","batch_repair_v0.1 governed phrase"
"碰倒玻璃杯","Glass Cup Knock Over","action","zh","100","phrase","keep","low","glass/cup/knock","manual","batch_repair_v0.1 governed compound phrase"
"石头互碰","Rock Clack","action","zh","100","phrase","keep","low","rock/clack","manual","batch_repair_v0.1 governed phrase"
"塑料盒互碰","Plastic Box Clack","action","zh","100","phrase","keep","low","plastic/box/clack","manual","batch_repair_v0.1 governed phrase"
"金属杆相碰","Metal Rod Clank","action","zh","100","phrase","keep","low","metal/rod/clank","manual","batch_repair_v0.1 governed phrase"
"身体碰墙","Body Bump Wall","action","zh","100","phrase","keep","low","body/wall/bump","manual","batch_repair_v0.1 governed phrase"
"甩毛巾","Towel Flap","motion","zh","100","phrase","keep","low","towel/flap","manual","batch_repair_v0.1 governed phrase"
"甩尾巴","Tail Swing","motion","zh","100","phrase","keep","low","tail/swing","manual","batch_repair_v0.1 governed phrase"
"甩棍","Stick Whoosh","motion","zh","100","phrase","keep","low","stick/whoosh","manual","batch_repair_v0.1 governed phrase"
"摔书","Book Drop","action","zh","100","phrase","keep","low","book/drop","manual","batch_repair_v0.1 governed phrase"
"墙皮脱落","Plaster Crumble","action","zh","100","phrase","keep","low","plaster/crumble","manual","batch_repair_v0.1 governed phrase"
"拉链拉开再拉上","Zipper Open Close","action","zh","100","phrase","keep","low","zipper/open/close","manual","batch_repair_v0.1 governed compound phrase"
"水倒入杯中溅出","Water Pour Splash","action","zh","100","phrase","keep","low","water/pour/splash","manual","batch_repair_v0.1 governed compound phrase"
"摩擦皮革","Leather Friction","action","zh","100","phrase","keep","low","leather/friction","manual","batch_repair_v0.1 governed phrase"
"冰块刮擦冰砖","Ice Scrape Ice Brick","action","zh","100","phrase","keep","low","ice/scrape","manual","batch_repair_v0.1 governed phrase"
"轮胎摩擦","Tire Friction","action","zh","100","phrase","keep","low","tire/friction","manual","batch_repair_v0.1 governed phrase"
"敲木门","Wood Door Knock","action","zh","100","phrase","keep","low","wood/door/knock","manual","batch_repair_v0.1 governed phrase"
"划船","Boat Row","action","zh","100","phrase","keep","low","boat/row","manual","batch_repair_v0.1 governed phrase"
"刮风","Wind Gust","action","zh","100","phrase","keep","low","wind/gust","manual","batch_repair_v0.1 governed phrase"
"蹭衣服","Cloth Rub","action","zh","100","phrase","keep","low","cloth/rub","manual","batch_repair_v0.1 governed phrase"
"骨头断裂","Bone Crack","action","zh","100","phrase","keep","low","bone/crack","manual","batch_repair_v0.1 governed phrase"
"石头碎裂","Rock Crack","action","zh","100","phrase","keep","low","rock/crack","manual","batch_repair_v0.1 governed phrase"
"金属断裂","Metal Snap","action","zh","100","phrase","keep","low","metal/snap","manual","batch_repair_v0.1 governed phrase"
"来回蹭地毯","Carpet Rub","action","zh","100","phrase","keep","low","carpet/rub","manual","batch_repair_v0.1 governed phrase"
"来回摩擦毛毯","Carpet Rub","action","zh","100","phrase","keep","low","carpet/rub","manual","batch_repair_v0.1 governed phrase"
"晃链条","Chain Rattle","action","zh","100","phrase","keep","low","chain/rattle","manual","batch_repair_v0.1 governed phrase"
"轻碰桌边","Table Bump","action","zh","100","phrase","keep","low","table/bump","manual","batch_repair_v0.1 governed phrase"
"苹果掉地上","Apple Drop Floor","action","zh","100","phrase","keep","low","apple/drop/floor","manual","batch_repair_v0.1 governed phrase"
"开瓶盖","Bottle Cap Open","action","zh","100","phrase","keep","low","bottle/cap/open","manual","batch_repair_v0.1 real-input phrase"
"砖墙坍塌","Brick Wall Collapse","action","zh","100","phrase","keep","low","brick/wall/collapse","manual","batch_repair_v0.1 real-input phrase"
"猫叫","Cat Meow","source","zh","100","phrase","keep","low","animal/cat","manual","batch_repair_v0.1 real-input phrase"
"牛叫","Cow Moo","source","zh","100","phrase","keep","low","animal/cow","manual","batch_repair_v0.1 real-input phrase"
"猪叫","Pig Oink","source","zh","100","phrase","keep","low","animal/pig","manual","batch_repair_v0.1 real-input phrase"
"鸡叫","Chicken Cluck","source","zh","100","phrase","keep","low","animal/chicken","manual","batch_repair_v0.1 real-input phrase"
"海鸥叫","Seagull Call","source","zh","100","phrase","keep","low","animal/seagull","manual","batch_repair_v0.1 real-input phrase"
"鲸鱼叫声","Whale Call","source","zh","100","phrase","keep","low","animal/whale","manual","batch_repair_v0.1 complete real-input phrase"
"摔","","action","zh","0","ambiguous_single","review","high","drop/slam/fall","manual","batch_repair_v0.2 review-only broad token; no runtime output"
"抽屉拉开又关上","Drawer Open Close","action","zh","100","phrase","keep","low","drawer/open/close","manual","batch_repair_v0.2 governed compound phrase"
"警报响","Alarm Ring","action","zh","100","phrase","keep","low","alarm/ring","manual","batch_repair_v0.2 governed phrase"
"金属片响","Metal Sheet Rattle","action","zh","100","phrase","keep","low","metal/sheet/rattle","manual","batch_repair_v0.2 governed phrase"
"硬币响","Coin Jingle","action","zh","100","phrase","keep","low","coin/jingle","manual","batch_repair_v0.2 governed phrase"
"链条响","Chain Rattle","action","zh","100","phrase","keep","low","chain/rattle","manual","batch_repair_v0.2 governed phrase"
"风扇响","Fan Whir","action","zh","100","phrase","keep","low","fan/whir","manual","batch_repair_v0.2 governed phrase"
"肚子响","Stomach Growl","source","zh","100","phrase","keep","low","stomach/growl","manual","batch_repair_v0.2 governed phrase"
"甩水","Water Flick","motion","zh","100","phrase","keep","low","water/flick","manual","batch_repair_v0.2 governed phrase"
"甩刀","Knife Whoosh","motion","zh","100","phrase","keep","medium","knife/whoosh","manual","batch_repair_v0.2 governed phrase"
"甩手","Hand Whoosh","motion","zh","100","phrase","keep","medium","hand/whoosh","manual","batch_repair_v0.2 governed phrase"
"甩门","Door Slam","action","zh","100","phrase","keep","low","door/slam","manual","batch_repair_v0.2 governed phrase"
"甩绳子","Rope Swing","motion","zh","100","phrase","keep","low","rope/swing","manual","batch_repair_v0.2 governed phrase"
"门打开后撞到墙","Door Open Impact Wall","action","zh","100","phrase","keep","low","door/open/impact/wall","manual","batch_repair_v0.2 governed compound phrase"
"拿起杯子放下","Cup Pick Up Put Down","action","zh","100","phrase","keep","low","cup/pick-up/put-down","manual","batch_repair_v0.2 governed compound phrase"
"金属盒打开合上","Metal Box Open Close","action","zh","100","phrase","keep","low","metal/box/open/close","manual","batch_repair_v0.2 governed compound phrase"
"纸张揉皱展开","Paper Crumple Unfold","action","zh","100","phrase","keep","low","paper/crumple/unfold","manual","batch_repair_v0.2 governed compound phrase"
"布料甩动落地","Cloth Flap Drop","action","zh","100","phrase","keep","medium","cloth/flap/drop","manual","batch_repair_v0.2 governed compound phrase"
"陶瓷破碎","Ceramic Shatter","action","zh","100","phrase","keep","low","ceramic/shatter","manual","batch_repair_v0.2 governed phrase"
"电话铃声","Telephone Bell","source","zh","100","phrase","keep","low","telephone/bell","manual","batch_repair_v0.2 complete real-input phrase"
"风声呼啸","Wind Whoosh","source","zh","100","phrase","keep","low","wind/whoosh","manual","batch_repair_v0.2 complete real-input phrase"
"欢呼声","Cheer","source","zh","100","phrase","keep","low","crowd/cheer","manual","batch_repair_v0.2 complete real-input phrase"
"战场呐喊","Battle Shout","source","zh","100","phrase","keep","medium","battle/shout","manual","batch_repair_v0.2 complete real-input phrase"
