Category,SubCategory,CatID,CatShort,Explanations,Explanations_zh,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh,,
AIRCRAFT,RADIO CONTROLLED,AERORadio,AERO,"Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.",玩具遥控飞机、无人机、四旋翼、RC 喷气机与直升机等。,"Aerial, Airplane, Control, Controlled, Drone, Helicopter, Jet, Model, Quadcopters, Radio, RC, Remote, RPA, RPV, Scale, UAS, UAV, Unmanned",航空器,塔台,四轴飞行器、 无人机、 无人驾驶飞行器、 遥控直升机,,
AIRCRAFT,ROCKET,AERORckt,AERO,"Jet powered rockets and rocket engines., missiles.",喷气火箭、火箭发动机、导弹等。,"Blastoff, Booster, Hypersonic, ICBM, Jet, Jetpack, Launch, Launchers, Launching, Launchpad, Missile, Missiles, Missle, NASA, Nuclear, Nuke, Orbit, Payload, Propellant, Propelled, Propellent, Ramjet, Ramjets, Retrorocket, Retrorockets, Rocketeer, Rocketeers, Rocketman, Rocketplane, Rocketry, Rocketship, Shuttle, Skyrocket, Soyuz, Space, Spacelab, Spaceman, Spaceplane, Spaceplanes, Spacex, Sputniks, Suborbital, Thruster, Warhead",航空器,火箭,火箭、 导弹、 喷气背包、 航天飞机、 SpaceX、 美国航空航天局、 洲际导弹、 核火箭、 推进器,,
ALARMS,BELL,ALRMBell,ALRM,"All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.",所有使用铃的警报器，学校铃，火警铃，铁路道口铃。,"Alarms, Alert, Bank, Burglar, Caution, Clanger, Clock, Crossing, Fire, Notice, Railroad, Reminder, School, Signal, Striker, Tower, Warning",警报,警铃,火铃、校铃、铁路道口铃、 平交道警铃、雪橇铃,,
ALARMS,BUZZER,ALRMBuzr,ALRM,"All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.",所有使用蜂鸣器的警报，或一般蜂鸣器，即使并非严格意义上的警报。前门蜂鸣器。,"Alarm, Alarms, Alert, Burglar, Buzzing, Caution, Door, Doorkeeper, Doorman, Emergency, Entry, Fire, Front, Game, Home, Hospital, Intercom, Notice, Reminder, Security, Show, Signal, Warning",警报,蜂鸣器,门铃、游戏节目蜂鸣器,,
ALARMS,CLOCK,ALRMClok,ALRM,"Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.",特别是闹钟，数字或模拟的。与 ALARMS-BELL 有点重叠，但各种时钟闹钟可能最好放在这里。,"Alarm, Alarms, Analog, Clock, Digital, Sleep, Snooze, Timepiece, Timer, Wind",警报,钟表,数字闹钟、闹钟,,
ALARMS,ELECTRONIC,ALRMElec,ALRM,"All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.",全电子报警器，纯电子音报警器。家庭防盗警报器、烟雾探测器等。汽车警报器将归入 VEHICLES-ALARMS。,"Alarms, Alert, Button, Car, Carbon, Caution, CO2, Detector, Digital, Home, Intruder, Intrusion, Keycard, Monoxide, Notice, Panic, Programable, Reminder, Security, Signal, Smoke, Timer, Warning",警报,电器,火灾探测器、家庭防盗报警器、 二氧化碳报警器、 报警器系统,,
ALARMS,MISC,ALRMMisc,ALRM,Alarm sounds not fitting another category in this list.,不适合归入本列表其他子类的警报类音效。,"Alarms, Alert, Anti-Theft, Caution, Homing, Miscellaneous, Notice, Reminder, Signal, Warning",警报,其它,各种各样的、 其他种类的警报,,
ALARMS,SIREN,ALRMSirn,ALRM,"Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.",机械警报器，如老式汽笛。VEHICLES-ALARMS如警察、消防和救护车前往VEHICLES-ALARMS。,"Ahooga, Air, Air-Raid, Alarms, Blare, Civil, Claxon, Defense, Doppler, Hailer, Hooters, Horn, Klaxon, Raid, Siren, Sirenidae, Tornado",警报,警报,空袭警报器、汽笛、 车辆鸣笛、 警车警笛、 救护车警笛,,
AMBIENCE,AIR,AMBAir,AMB,"Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exterior equivalent of a room tone. If noticable activity find a better fitting category.",安静的外部“空气”，几乎没有活动，例如外部房间色调，非常简单的外部环境声。外部相当于房间色调。如果有明显的活动，请找到更合适的类别。,"Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Calm, Cave, Clear, Clearing, Desert, Field, Forest, Garden, Mountain, Night, Noiselessly, Oasis, Peaceful, Quiet, Sedate, Serene, Silence, Silent, Snowy, Still, Tranquil, Winter",环境,空气,沙漠、冬天、安静的空气、夜间空气、山间空气、房屋外空气,,
AMBIENCE,ALPINE,AMBAlpn,AMB,"Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.",山地环境声，用于在地理上与高山环境相关的录音和环境声。有些与“AMBIENCE-RURAL”重叠。,"Alpen, Alpes, Alpin, Alpine, Alpinist, Alpinists, Alps, Andean, Andes, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Craggy, Downhill, Glacial, Highland, Hilly, Himalayas, Icefalls, Jagged, Matterhorn, Meadow, Montane, Montanic, Mountain, Mountaineer, Mountaineering, Mountainous, Mountains, Mountainscape, Mountainside, Mountaintop, Nordic, Pass, Patagonian, Peak, Peaks, Pyrenean, Pyrenees, Resort, Ridge, Rockies, Rocky, Rugged, Ski, Snowcapped, Snowy, Styrian, Subalpine, Summit, Tetons, Timberline, Tirol, Transalpine, Transmontane, Tyrol, Tyrolean, Ultramontane, Upland, Uplandish, Uralian",环境,高山,山、落基山脉、群山、雪山、山腰、山峰,,
AMBIENCE,AMUSEMENT,AMBAmus,AMB,"Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.",主题公园和嘉年华。谨防未清算音乐可能出现的版权问题。嘉年华、集市、节日。可能还有拱廊。,"Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Adventure, Arcade, Biopark, Boardwalk, Bouncing, Bumper, Carnival, Carousel, Cars, Casino, Circus, Coaster, County, Course, Disney, Disneyland, Exploratorium, Fair, Fairground, Ferris, Festival, Flags, Funfair, Funhouse, Gamepark, Go-Kart, Golf, Haunted, Hellhouse, House, Merry-Go-Round, Midway, Mini, Mini-Golf, Park, Pinball, Playland, Roller, Six, Six-Flags, Theater, Theme, Tourist, Traveling, Venue, Wally, Water, Waterpark, Wheel, Wonderworld, Zoological",环境,娱乐,迪士尼乐园、 主题公园、 游乐园、 嘉年华、 工会、 市集、 旅游博览会、 展览、 儿童乐园,,
AMBIENCE,BIRDSONG,AMBBird,AMB,"Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.",鸣禽成群，就像美丽的鸟儿在黎明合唱，其中鸟儿是最突出的声音。单只鸟会进入 BIRDS-SONGBIRD。,"Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Bird, Birdcall, Birdcalls, Birdlife, Birdsong, Birdsongs, Cacophony, Cheeping, Chirping, Chirpings, Chirps, Chittering, Chorus, Dawn, Flocks, Morning, Nightbirds, Nightingales, Peeping, Pinewoods, Pretty, Singing, Songbird, Songbirds, Songful, Soundscape, Sparrows, Spring, Susurration, Susurrus, Thrum, Trilling, Tweeting, Twittering, Twitterings, Vocalisations, Warble, Warbling, Warblings, Whistlings",环境,鸟鸣,合唱团、鸟鸣、啁啾、鸣叫,,
AMBIENCE,CELEBRATION,AMBCele,AMB,"Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.",聚会，除夕夜。不是纯粹的人群，就像人群中那样，而是指城市外的新年。另请参阅“AMBIENCE-AMUSEMENT”以了解集市或节日等活动。,"Anniversary, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Awards, Birthday, Birthdays, Blast, Blowout, Carnival, Celebrants, Ceremonials, Ceremonies, Ceremony, Championships, Commemorate, Commemorating, Commemoration, Commemorations, Commemorative, Concelebrate, Congratulating, Decorations, Drunken, Eid, Elation, Enjoyments, Entertainments, Event, Excitement, Excitements, Exhilaration, Extravaganza, Extravaganzas, Exultation, Exulting, Fairs, Feasts, Felicitating, Felicities, Fest, Festival, Festivals, Festiveness, Festivities, Festivity, Fete, Fiesta, Fireworks, Functions, Gala, Galas, Gathering, Gatherings, Graduation, Graduations, Happiness, Joyous, Joyousness, Jubilance, Jubilating, Jubilation, Jubilee, Merriment, Merrymaking, Observance, Observances, Occasion, Occasions, Overjoyed, Parade, Parades, Parties, Party, Partygoers, Partying, Prom, Public, Qing, Quincea‚àö¬±era, Rager, Rave, Reception, Religious, Revellers, Revelling, Revelries, Revelry, Traditional, Traditions, Victories, Wedding, Weddings",环境,庆典,公众聚会、活动、派对、晚会、嘉年华,,
AMBIENCE,CONSTRUCTION,AMBCnst,AMB,"Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.",施工场景包括手提钻、起重机、打桩机、复合施工场景、道路施工等。,"Architect, Architectural, Architecture, Assembly, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Build, Builder, Building, Buildings, Buildup, Built, Carpentry, Construct, Constructing, Constructive, Constructor, Contracting, Contractor, Demolition, Design, Engineering, Erect, Erection, Foundation, Home, Housing, Infrastructure, Installation, Labour, Manufacture, Planning, Plot, Prefab, Preparation, Project, Projects, Provision, Rebuild, Rebuilding, Reconstruct, Reconstruction, Remodel, Reno, Renovation, Repair, Road, Site, Workmanship, Works, Worksite",环境,施工,道路建设、 建筑、 木工、手提钻、起重机、打桩机、复合施工场景、道路施工,,
AMBIENCE,DESERT,AMBDsrt,AMB,Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.,安静的沙漠环境声，有适当的昆虫和鸟类。也许是风滚草。,"Abandon, Arabian, Arid, Aridity, Aridness, Atacama, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Badland, Badlands, Bare, Barren, Bedouin, Bedouins, Cacti, Cactuses, Canyons, Dearth, Desertlike, Desolate, Dry, Dune, Dunes, Dustbowl, Empty, Expanse, Flatlands, Forsake, Gobi, Godforsaken, Grassless, Hilltop, Hot, Hyperarid, Infertile, Inhospitable, Kalahari, Karakum, Lifeless, Lonely, Mirage, Mirages, Mohave, Mojave, Moonscape, Oases, Oasis, Outback, Parched, Playa, Sable, Sagebrush, Sahara, Saharan, Saharawi, Sahraoui, Sahrawi, Sand, Sandstorms, Sandy, Scrublands, Semidesert, Sonoran, Steppes, Sunbaked, Tumbleweed, Wadi, Wadis, Walkabout, Waste, Wasteland, Wastelands, Waterless",环境,沙漠,沙漠、风滚草、绿洲、贫瘠、荒地、撒哈拉、干旱、沙丘,,
AMBIENCE,DESIGNED,AMBDsgn,AMB,Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.,人工设计的环境声。 V8.2 添加了 AMBIENCE-FANTASY 和 AMBIENCE-SCIFI，这可能更适合大多数“设计”类别。,"Artificial, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Constructed, Created, Manufactured",环境,设计,人造场景、幻想、科幻、中土、魔幻,,
AMBIENCE,EMERGENCY,AMBEmrg,AMB,"Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.",犯罪现场、消防现场、事故现场，以及消防员、警察、救护车和医务人员等。另请参阅“紧急车辆”。,"Accident, Assistance, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Burglary, Calamity, Casualty, Catastrophe, Crime, Crises, Crisis, Danger, Disaster, Disasters, Evac, Evacuation, Evacuations, Evidence, Fighting, Fire, Hazard, Hazardous, Help, Incident, Injury, Lifesaving, Mass, Medevac, Medical, Medics, Murder, Natural, Paramedics, Pileup, Plight, Police, Rescue, Resuscitation, Resuscitative, Robbery, Scene, Search, Shooting, SOS, Succor, Triage, Urgence, Urgency, Urgent, Urgently",环境,紧急,犯罪现场、消防、警察、医务人员、证据、自然灾害、射击、事故、灾难、伤害、泥石流、 地震、 洪水,,
AMBIENCE,FANTASY,AMBFant,AMB,"Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.",神奇的或其他世俗的复合环境声、音景，想想中土世界或潘多拉。,"Adventure, Arthurian, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Castle, Costume, Dream, Dreaming, Dreamland, Dreamlands, Dreamlike, Dreams, Dreamscape, Dreamworld, Dwarven, Earth, Elven, Enchanted, Fairy, Fairyland, Fairytale, Fairytales, Fantasia, Fantasist, Fantasizing, Fantastic, Fantasyland, Fictional, Figment, Forest, Hallucination, Illusory, Imaginary, Imagination, Imaginative, Imaginings, Imitation, Kingdom, Lair, Magical, Middle, Mine, Mirage, Mystical, Mythical, Mythological, Mythology, Mythopoeic, Pandora, Phantasie, Phantasmagorical, Phantasy, Realm, Roleplaying, Surrealism, Surrealist, Surrealistic, Tower, Unreal, Unrealism, Unreality, Utopia, Utopian, Utopianism, Village, Visionary, Whimsical, Wizard",环境,奇幻,幻想、科幻、中土世界,,
AMBIENCE,FARM,AMBFarm,AMB,"Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.",特别是农场环境声，有动物，可能是工作的拖拉机、鸡等。孤立的农场动物将进入动物农场。,"Agrarian, Agricultural, Agriculture, Agro, Agronomic, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Aquaculture, Arable, Barn, Breeding, Cattle, Chickens, Corn, Corral, Cow, Crops, Cultivar, Cultivate, Cultivation, Cultured, Dairy, Farmer, Farmland, Farmstead, Goat, Grain, Grange, Grow, Grower, Harvest, Harvesting, Hatchery, Herding, Homestead, Husbandry, Land, Manufacturer, Nurture, Operation, Operational, Orchard, Pastoral, Pasture, Peasant, Pen, Pharm, Pig, Plantation, Planting, Poultry, Produce, Producer, Raise, Ranch, Rancher, Ranching, Rangeland, Rearing, Rural, Sheep, Silo, Stockbreeding, Stocking, Stud, Tillage, Tilling, Tractor, Vineyard",环境,农场,农场、收获、耕作、牧场、农庄、田庄、种植园、农田、谷仓、牧场、农作物、稻谷、乳制品、葡萄园、畜栏、田园、拖拉机,,
AMBIENCE,FOREST,AMBForst,AMB,"Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.",森林录音或森林复合文件。树和鸟，也许树上的风一起。有些与 AMBIENCE-RURAL 或 AMBIENCE-ALPINE 重叠。,"Alder, Apple, Ash, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Aspen, Beech, Birch, Boreal, Boxwood, Buckeye, Cedar, Cherry, Chestnut, Conifer, Coniferous, Coppice, Coppices, Copse, Copses, Cypress, Deciduous, Deforestation, Dogwood, Elm, Fir, Forester, Foresters, Forestier, Forestland, Forestlands, Forestry, Foresty, Forrest, Forrests, Greenwood, Grove, Hemlock, Hickory, Larch, Lumbering, Magnolia, Mahogany, Maple, Oak, Old-Growth, Pine, Pines, Plantation, Poplar, Primeval, Rainforest, Rainforests, Redwood, Reforesting, Reliant, Reserve, Sequoia, Spruce, Stands, Stumpage, Sycamore, Taiga, Temperate, Thicket, Timber, Timberland, Tree, Trees, Treetop, Tress, Underbrush, Undergrowth, Understory, Unforested, Vegetation, Weald, Wilderness, Wildfires, Wildland, Wildwood, Willow, Wooded, Woodland, Woodlands, Woodlot, Woods, Woody, Yew",环境,森林,森林、树林、林地、热带雨林、雨林、云雾林、落叶、针叶树、阔叶林,,
AMBIENCE,GRASSLAND,AMBGras,AMB,"Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.",草原、草地、牧场等。但如果存在农场动物或人类活动，农场就有自己的类别。,"Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Cropland, Croplands, Farmland, Field, Floodplain, Grass, Grasses, Grassy, Grazing, Habitat, Habitats, Lowland, Meadow, Meadowland, Meadows, Moorland, Overgrazed, Pasture, Pastureland, Pastures, Plain, Plains, Prairie, Prairies, Range, Rangeland, Rangelands, Sagebrush, Savanna, Savannah, Scrublands, Semiarid, Semidesert, Seminatural, Shortgrass, Shrubland, Shrublands, Steppe, Subalpine, Tallgrass, Tussock, Unforested, Ungrazed, Uplands, Vegetational",环境,草地,草原、农田、草地、草地、放牧、牧场、草甸,,
AMBIENCE,HISTORICAL,AMBHist,AMB,"Old West scenes, Roman street scenes. Composite history and ancient ambiences.",老西部场景，罗马街景。复合的历史和古老的环境声。,"Ancestral, Ancient, Anthropological, Antique, Archaeologic, Archaeological, Archeological, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Biblical, Biographical, Castle, Chronological, Chronology, City, Classic, Earlier, Epoch, Epochal, Factual, Folkloric, Former, Geographic, Geographical, Geological, Geopolitical, Ghost, Gold, Greece, Groundbreaking, Heritage, Historian, Historically, Histories, Historiographic, Historiographical, Historique, History, Landmark, Legendary, Literary, Longstanding, Medieval, Monument, Monumental, Monuments, Old, Olden, Origin, Palace, Past, Pedigree, Philosophical, Prehistoric, Prehistorical, Previous, Prior, Pseudohistorical, Pyramid, Real, Retrospective, Rome, Ruin, Rush, Site, Story, Tale, Timeline, Town, Traditional, Village, Vintage, West",环境,历史年代,鬼城、 老西部、 淘金热、 古罗马、 古希腊,,
AMBIENCE,HITECH,AMBTech,AMB,"Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.",高科技机房。数据中心、控制室。詹姆斯·邦德式的巢穴。宇宙飞船内饰。,"007, Advanced, Artificial, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Biotechnology, Bond, Center, Control, Cutting-Edge, Cyber, Cyberactive, Cybercentric, Cybercriminal, Cybererotic, Cybergenic, Cyberliterate, Cyberoptimistic, Cyberphysical, Cyberpunky, Cyberqueer, Cyberreal, Cybersavvy, Cybersexy, Data, Digital, Futuristic, High-Tech, Innovative, Intelligence, Intercomputer, Internet, Internetlike, Internetted, James, Lab, Laboratory, Machine, Modern, Multiserver, Multisite, Multiuser, Multiworkstation, Nanotechnology, Online, Research, Robotics, Room, Scientist, Server, Sophisticated, Spy, Technical, Techno, Technological, Technology, Virtual",环境,高科技,实验室、机房、服务器、数据中心、控制室、宇宙飞船内部,,
AMBIENCE,HOSPITAL,AMBHosp,AMB,"Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.",各种医院环境，包括手术室和急诊室。可能还有兽医医院。,"Admission, Ambulances, Ambulatory, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Beds, Bellevue, Care, Clinic, Clinica, Clinical, Convalesces, Department, Doctor, Doctors, Emergency, Gynecology, Healthcare, Hosp, Hospice, Hospitalier, Hospitalist, Hospitality, Hospitalization, Hospitalizations, Hospitalized, House, ICU, Infirmaries, Infirmary, Inpatient, Inpatients, Intensive, Laboratory, Maternity, Medevac, Medic, Medical, Mental, Morgue, Mortuary, Neonatal, Nurse, Nurses, Obstetrics, Occupational, Oncology, Operating, Outpatient, Outpatients, Patient, Pediatrics, Pharmacy, Physical, Physician, Radiology, Recuperating, Room, Sanatorium, Sanitarium, Sick, Sickbay, Sickhouse, Surgery, Therapy, Treatment, Unit, Waiting, Ward",环境,医院,急诊室、手术室、候诊室、病房、诊所、疗养院、医务室、 兽医医院,,
