zh_synonym,subcategory_en,category,catid
游戏节目蜂鸣器,BUZZER,ALARMS,ALRMBuzr
数字闹钟,CLOCK,ALARMS,ALRMClok
火灾探测器,ELECTRONIC,ALARMS,ALRMElec
家庭防盗报警器,ELECTRONIC,ALARMS,ALRMElec
二氧化碳报警器,ELECTRONIC,ALARMS,ALRMElec
报警器系统,ELECTRONIC,ALARMS,ALRMElec
各种各样的,MISC,ALARMS,ALRMMisc
其他种类的警报,MISC,ALARMS,ALRMMisc
空袭警报器,SIREN,ALARMS,ALRMSirn
车辆鸣笛,SIREN,ALARMS,ALRMSirn
警车警笛,SIREN,ALARMS,ALRMSirn
救护车警笛,SIREN,ALARMS,ALRMSirn
冬天,AIR,AMBIENCE,AMBAir
安静的空气,AIR,AMBIENCE,AMBAir
夜间空气,AIR,AMBIENCE,AMBAir
山间空气,AIR,AMBIENCE,AMBAir
房屋外空气,AIR,AMBIENCE,AMBAir
落基山脉,ALPINE,AMBIENCE,AMBAlpn
山峰,ALPINE,AMBIENCE,AMBAlpn
迪士尼乐园,AMUSEMENT,AMBIENCE,AMBAmus
嘉年华,AMUSEMENT,AMBIENCE,AMBAmus
工会,AMUSEMENT,AMBIENCE,AMBAmus
旅游博览会,AMUSEMENT,AMBIENCE,AMBAmus
展览,AMUSEMENT,AMBIENCE,AMBAmus
公众聚会,CELEBRATION,AMBIENCE,AMBCele
嘉年华,CELEBRATION,AMBIENCE,AMBCele
道路建设,CONSTRUCTION,AMBIENCE,AMBCnst
木工,CONSTRUCTION,AMBIENCE,AMBCnst
手提钻,CONSTRUCTION,AMBIENCE,AMBCnst
复合施工场景,CONSTRUCTION,AMBIENCE,AMBCnst
道路施工,CONSTRUCTION,AMBIENCE,AMBCnst
风滚草,DESERT,AMBIENCE,AMBDsrt
绿洲,DESERT,AMBIENCE,AMBDsrt
贫瘠,DESERT,AMBIENCE,AMBDsrt
撒哈拉,DESERT,AMBIENCE,AMBDsrt
人造场景,DESIGNED,AMBIENCE,AMBDsgn
中土,DESIGNED,AMBIENCE,AMBDsgn
犯罪现场,EMERGENCY,AMBIENCE,AMBEmrg
医务人员,EMERGENCY,AMBIENCE,AMBEmrg
事故,EMERGENCY,AMBIENCE,AMBEmrg
灾难,EMERGENCY,AMBIENCE,AMBEmrg
中土世界,FANTASY,AMBIENCE,AMBFant
收获,FARM,AMBIENCE,AMBFarm
耕作,FARM,AMBIENCE,AMBFarm
田庄,FARM,AMBIENCE,AMBFarm
种植园,FARM,AMBIENCE,AMBFarm
农作物,FARM,AMBIENCE,AMBFarm
稻谷,FARM,AMBIENCE,AMBFarm
乳制品,FARM,AMBIENCE,AMBFarm
葡萄园,FARM,AMBIENCE,AMBFarm
畜栏,FARM,AMBIENCE,AMBFarm
林地,FOREST,AMBIENCE,AMBForst
云雾林,FOREST,AMBIENCE,AMBForst
针叶树,FOREST,AMBIENCE,AMBForst
阔叶林,FOREST,AMBIENCE,AMBForst
草地,GRASSLAND,AMBIENCE,AMBGras
草地,GRASSLAND,AMBIENCE,AMBGras
放牧,GRASSLAND,AMBIENCE,AMBGras
老西部,HISTORICAL,AMBIENCE,AMBHist
古罗马,HISTORICAL,AMBIENCE,AMBHist
古希腊,HISTORICAL,AMBIENCE,AMBHist
服务器,HITECH,AMBIENCE,AMBTech
宇宙飞船内部,HITECH,AMBIENCE,AMBTech
诊所,HOSPITAL,AMBIENCE,AMBHosp
疗养院,HOSPITAL,AMBIENCE,AMBHosp
兽医医院,HOSPITAL,AMBIENCE,AMBHosp
制造,INDUSTRIAL,AMBIENCE,AMBInd
湖泊,LAKESIDE,AMBIENCE,AMBLake
湖边,LAKESIDE,AMBIENCE,AMBLake
水波浪,LAKESIDE,AMBIENCE,AMBLake
湖泊,LAKESIDE,AMBIENCE,AMBLake
供应商,MARKET,AMBIENCE,AMBMrkt
购物区,MARKET,AMBIENCE,AMBMrkt
其他种类的环境,MISC,AMBIENCE,AMBMisc
各种各样的,MISC,AMBIENCE,AMBMisc
造船厂,NAUTICAL,AMBIENCE,AMBNaut
船尾甲板,NAUTICAL,AMBIENCE,AMBNaut
船头,NAUTICAL,AMBIENCE,AMBNaut
远洋,NAUTICAL,AMBIENCE,AMBNaut
船坞,NAUTICAL,AMBIENCE,AMBNaut
工作场所,OFFICE,AMBIENCE,AMBOffc
分支机构,OFFICE,AMBIENCE,AMBOffc
工作站,OFFICE,AMBIENCE,AMBOffc
城市公园,PARK,AMBIENCE,AMBPark
郊区公园,PARK,AMBIENCE,AMBPark
棒球场,PARK,AMBIENCE,AMBPark
监狱院子,PRISON,AMBIENCE,AMBPrisn
监禁室,PRISON,AMBIENCE,AMBPrisn
刑罚机构,PRISON,AMBIENCE,AMBPrisn
禁闭室,PRISON,AMBIENCE,AMBPrisn
放风场,PRISON,AMBIENCE,AMBPrisn
集会,PROTEST,AMBIENCE,AMBPrtst
集会,PROTEST,AMBIENCE,AMBPrtst
骚乱,PROTEST,AMBIENCE,AMBPrtst
愤怒的人群,PROTEST,AMBIENCE,AMBPrtst
动荡,PROTEST,AMBIENCE,AMBPrtst
反抗,PROTEST,AMBIENCE,AMBPrtst
革命,PROTEST,AMBIENCE,AMBPrtst
口号,PROTEST,AMBIENCE,AMBPrtst
除餐厅外其他室内或室外公共场所,PUBLIC PLACE,AMBIENCE,AMBPubl
商店,PUBLIC PLACE,AMBIENCE,AMBPubl
大堂,PUBLIC PLACE,AMBIENCE,AMBPubl
博物馆,PUBLIC PLACE,AMBIENCE,AMBPubl
公共广场,PUBLIC PLACE,AMBIENCE,AMBPubl
清真寺,RELIGIOUS,AMBIENCE,AMBRlgn
宗教集会,RELIGIOUS,AMBIENCE,AMBRlgn
大教堂,RELIGIOUS,AMBIENCE,AMBRlgn
朝圣,RELIGIOUS,AMBIENCE,AMBRlgn
窗外,RESIDENTIAL,AMBIENCE,AMBHome
美食酒吧,RESTAURANT & BAR,AMBIENCE,AMBRest
小餐馆,RESTAURANT & BAR,AMBIENCE,AMBRest
自助餐厅,RESTAURANT & BAR,AMBIENCE,AMBRest
茶室,RESTAURANT & BAR,AMBIENCE,AMBRest
沙龙,RESTAURANT & BAR,AMBIENCE,AMBRest
比萨店,RESTAURANT & BAR,AMBIENCE,AMBRest
夜总会,RESTAURANT & BAR,AMBIENCE,AMBRest
熟食店,RESTAURANT & BAR,AMBIENCE,AMBRest
餐馆,RESTAURANT & BAR,AMBIENCE,AMBRest
安静的空气,ROOM TONE,AMBIENCE,AMBRoom
空荡,ROOM TONE,AMBIENCE,AMBRoom
连绵起伏的丘陵,RURAL,AMBIENCE,AMBRurl
草地,RURAL,AMBIENCE,AMBRurl
断崖,RURAL,AMBIENCE,AMBRurl
高原,RURAL,AMBIENCE,AMBRurl
戈壁,RURAL,AMBIENCE,AMBRurl
小学,SCHOOL,AMBIENCE,AMBSchl
学院,SCHOOL,AMBIENCE,AMBSchl
学前班,SCHOOL,AMBIENCE,AMBSchl
大学,SCHOOL,AMBIENCE,AMBSchl
课堂,SCHOOL,AMBIENCE,AMBSchl
大会,SCHOOL,AMBIENCE,AMBSchl
教室,SCHOOL,AMBIENCE,AMBSchl
学校走廊,SCHOOL,AMBIENCE,AMBSchl
科技实验室,SCIFI,AMBIENCE,AMBSci
赛伯朋克,SCIFI,AMBIENCE,AMBSci
沙滩,SEASIDE,AMBIENCE,AMBSea
海岸线,SEASIDE,AMBIENCE,AMBSea
木板路,SEASIDE,AMBIENCE,AMBSea
海滩度假村,SEASIDE,AMBIENCE,AMBSea
海堤,SEASIDE,AMBIENCE,AMBSea
NFI,SPORT,AMBIENCE,AMBSprt
NBA,SPORT,AMBIENCE,AMBSprt
美国职业棒球大联盟,SPORT,AMBIENCE,AMBSprt
体育赛事,SPORT,AMBIENCE,AMBSprt
小联盟,SPORT,AMBIENCE,AMBSprt
住宅,SUBURBAN,AMBIENCE,AMBSubn
邻里,SUBURBAN,AMBIENCE,AMBSubn
湖边,SWAMP,AMBIENCE,AMBSwmp
湿地树木,SWAMP,AMBIENCE,AMBSwmp
小村庄,TOWN,AMBIENCE,AMBTown
社区,TOWN,AMBIENCE,AMBTown
社区,TOWN,AMBIENCE,AMBTown
林荫大道,TRAFFIC,AMBIENCE,AMBTraf
公路,TRAFFIC,AMBIENCE,AMBTraf
马路,TRAFFIC,AMBIENCE,AMBTraf
公交车站,TRANSPORTATION,AMBIENCE,AMBTran
云雾林,TROPICAL,AMBIENCE,AMBTrop
热带植物,TROPICAL,AMBIENCE,AMBTrop
高原,TUNDRA,AMBIENCE,AMBTndra
冰川,TUNDRA,AMBIENCE,AMBTndra
冰原,TUNDRA,AMBIENCE,AMBTndra
暴风雪,TUNDRA,AMBIENCE,AMBTndra
地堡,UNDERGROUND,AMBIENCE,AMBUndr
地牢,UNDERGROUND,AMBIENCE,AMBUndr
熔岩管,UNDERGROUND,AMBIENCE,AMBUndr
埋藏,UNDERGROUND,AMBIENCE,AMBUndr
竖井,UNDERGROUND,AMBIENCE,AMBUndr
矿道,UNDERGROUND,AMBIENCE,AMBUndr
海沟,UNDERWATER,AMBIENCE,AMBUndwtr
淹没,UNDERWATER,AMBIENCE,AMBUndwtr
海底生物,UNDERWATER,AMBIENCE,AMBUndwtr
鱼类,UNDERWATER,AMBIENCE,AMBUndwtr
密集的城市,URBAN,AMBIENCE,AMBUrbn
内城,URBAN,AMBIENCE,AMBUrbn
繁华,URBAN,AMBIENCE,AMBUrbn
高峰时间,URBAN,AMBIENCE,AMBUrbn
拥堵,URBAN,AMBIENCE,AMBUrbn
金融区,URBAN,AMBIENCE,AMBUrbn
城区,URBAN,AMBIENCE,AMBUrbn
街区,URBAN,AMBIENCE,AMBUrbn
小规模冲突,WARFARE,AMBIENCE,AMBWar
遭遇,WARFARE,AMBIENCE,AMBWar
闪电战,WARFARE,AMBIENCE,AMBWar
空袭,WARFARE,AMBIENCE,AMBWar
闪电战,WARFARE,AMBIENCE,AMBWar
战舰,WARFARE,AMBIENCE,AMBWar
蟾蜍,AMPHIBIAN,ANIMALS,ANMLAmph
牛蛙,AMPHIBIAN,ANIMALS,ANMLAmph
蝾螈,AMPHIBIAN,ANIMALS,ANMLAmph
鼠海豚,AQUATIC,ANIMALS,ANMLAqua
海狮,AQUATIC,ANIMALS,ANMLAqua
海牛,AQUATIC,ANIMALS,ANMLAqua
独角鲸,AQUATIC,ANIMALS,ANMLAqua
儒艮,AQUATIC,ANIMALS,ANMLAqua
黄貂鱼,AQUATIC,ANIMALS,ANMLAqua
鱿鱼,AQUATIC,ANIMALS,ANMLAqua
吸血蝙蝠,BAT,ANIMALS,ANMLBat
果蝠,BAT,ANIMALS,ANMLBat
呼噜声,CAT DOMESTIC,ANIMALS,ANMLCat
小猫,CAT DOMESTIC,ANIMALS,ANMLCat
大猫,CAT DOMESTIC,ANIMALS,ANMLCat
猫科动物,CAT DOMESTIC,ANIMALS,ANMLCat
胡同猫,CAT DOMESTIC,ANIMALS,ANMLCat
长毛猫,CAT DOMESTIC,ANIMALS,ANMLCat
短毛猫,CAT DOMESTIC,ANIMALS,ANMLCat
美洲虎,CAT WILD,ANIMALS,ANMLWcat
猎豹,CAT WILD,ANIMALS,ANMLWcat
狞猫,CAT WILD,ANIMALS,ANMLWcat
薮猫,CAT WILD,ANIMALS,ANMLWcat
吠声,DOG,ANIMALS,ANMLDog
小狗,DOG,ANIMALS,ANMLDog
大狗,DOG,ANIMALS,ANMLDog
哈巴狗,DOG,ANIMALS,ANMLDog
杂种狗,DOG,ANIMALS,ANMLDog
巡回犬,DOG,ANIMALS,ANMLDog
牧羊犬,DOG,ANIMALS,ANMLDog
柯基,DOG,ANIMALS,ANMLDog
柴犬,DOG,ANIMALS,ANMLDog
豺狼,DOG WILD,ANIMALS,ANMLWdog
野狗,DOG WILD,ANIMALS,ANMLWdog
狼疮,DOG WILD,ANIMALS,ANMLWdog
藏狐,DOG WILD,ANIMALS,ANMLWdog
美洲驼,FARM,ANIMALS,ANMLFarm
骡,HORSE,ANIMALS,ANMLHors
斑马,HORSE,ANIMALS,ANMLHors
蚱蜢,INSECT,ANIMALS,ANMLInsc
蚂蜂,INSECT,ANIMALS,ANMLInsc
螳螂,INSECT,ANIMALS,ANMLInsc
独角仙,INSECT,ANIMALS,ANMLInsc
蝗虫,INSECT,ANIMALS,ANMLInsc
甲虫,INSECT,ANIMALS,ANMLInsc
蟑螂,INSECT,ANIMALS,ANMLInsc
其他种类的动物,MISC,ANIMALS,ANMLMisc
各种各样的,MISC,ANIMALS,ANMLMisc
猿,PRIMATE,ANIMALS,ANMLPrim
大猩猩,PRIMATE,ANIMALS,ANMLPrim
狐猴,PRIMATE,ANIMALS,ANMLPrim
卷尾猴,PRIMATE,ANIMALS,ANMLPrim
狨猴,PRIMATE,ANIMALS,ANMLPrim
长臂猿,PRIMATE,ANIMALS,ANMLPrim
倭黑猩猩,PRIMATE,ANIMALS,ANMLPrim
狒狒,PRIMATE,ANIMALS,ANMLPrim
龟,REPTILE,ANIMALS,ANMLRept
恒河鳄,REPTILE,ANIMALS,ANMLRept
凯门鳄,REPTILE,ANIMALS,ANMLRept
老鼠,RODENT,ANIMALS,ANMLRdnt
松鼠,RODENT,ANIMALS,ANMLRdnt
鼹鼠,RODENT,ANIMALS,ANMLRdnt
豪猪,RODENT,ANIMALS,ANMLRdnt
花栗鼠,RODENT,ANIMALS,ANMLRdnt
海狸,RODENT,ANIMALS,ANMLRdnt
地鼠,RODENT,ANIMALS,ANMLRdnt
浣熊,RODENT,ANIMALS,ANMLRdnt
草原土拨鼠,RODENT,ANIMALS,ANMLRdnt
沙鼠,RODENT,ANIMALS,ANMLRdnt
仓鼠,RODENT,ANIMALS,ANMLRdnt
土拨鼠,RODENT,ANIMALS,ANMLRdnt
旅鼠,RODENT,ANIMALS,ANMLRdnt
麝鼠,RODENT,ANIMALS,ANMLRdnt
龙猫,RODENT,ANIMALS,ANMLRdnt
长颈鹿,WILD,ANIMALS,ANMLWild
斑羚,WILD,ANIMALS,ANMLWild
食蚁兽,WILD,ANIMALS,ANMLWild
鸭嘴兽,WILD,ANIMALS,ANMLWild
树懒,WILD,ANIMALS,ANMLWild
金刚狼,WILD,ANIMALS,ANMLWild
袋熊,WILD,ANIMALS,ANMLWild
袋鼠,WILD,ANIMALS,ANMLWild
小袋鼠,WILD,ANIMALS,ANMLWild
角马,WILD,ANIMALS,ANMLWild
羚羊,WILD,ANIMALS,ANMLWild
浣熊,WILD,ANIMALS,ANMLWild
犀牛,WILD,ANIMALS,ANMLWild
土豚,WILD,ANIMALS,ANMLWild
疣猪,WILD,ANIMALS,ANMLWild
黑斑羚,WILD,ANIMALS,ANMLWild
后期录音,ADR,ARCHIVED,ADR
资产,ASSET,ARCHIVED,ASSET
素材导出,BOUNCE,ARCHIVED,BNCE
多层素材合并,BOUNCE,ARCHIVED,BNCE
IR,IMPULSE RESPONSE,ARCHIVED,IR
卷积混响,IMPULSE RESPONSE,ARCHIVED,IR
混响采样,IMPULSE RESPONSE,ARCHIVED,IR
循环声音素材,LOOP GROUP,ARCHIVED,LPGRP
预混,MIX,ARCHIVED,MIX
最终混音,MIX,ARCHIVED,MIX
M&E,MIX,ARCHIVED,MIX
分轨,MIX,ARCHIVED,MIX
现场音效,PFX,ARCHIVED,PFX
台词,PRODUCTION,ARCHIVED,PROD
数据磁带,RAW,ARCHIVED,RAW
原始文件,RAW,ARCHIVED,RAW
未处理的素材,RAW,ARCHIVED,RAW
参考,REFERENCE,ARCHIVED,REF
灵感,REFERENCE,ARCHIVED,REF
设计的素材,SCENE,ARCHIVED,SCNE
adr 哔哔声,TEST TONE,ARCHIVED,TEST
测试音,TEST TONE,ARCHIVED,TEST
哔音,TEST TONE,ARCHIVED,TEST
2pops,TEST TONE,ARCHIVED,TEST
粉红噪声,TEST TONE,ARCHIVED,TEST
正弦波扫描,TEST TONE,ARCHIVED,TEST
商标,TRADEMARKED,ARCHIVED,TMARK
版权,TRADEMARKED,ARCHIVED,TMARK
产品声音,TRADEMARKED,ARCHIVED,TMARK
许可,TRADEMARKED,ARCHIVED,TMARK
合法,TRADEMARKED,ARCHIVED,TMARK
标识,TRADEMARKED,ARCHIVED,TMARK
工作进行中,WORK IN PROGRESS,ARCHIVED,WIP
未完成,WORK IN PROGRESS,ARCHIVED,WIP
不可归类的,WTF,ARCHIVED,WTF
未知的,WTF,ARCHIVED,WTF
电话音,LOFI,BEEPS,BEEPLofi
电视音,LOFI,BEEPS,BEEPLofi
心电图,MEDICAL,BEEPS,BEEPMed
KDC,MEDICAL,BEEPS,BEEPMed
心脏监护仪,MEDICAL,BEEPS,BEEPMed
超声波,MEDICAL,BEEPS,BEEPMed
医用,MEDICAL,BEEPS,BEEPMed
烤箱定时器,TIMER,BEEPS,BEEPTimer
数字手表,TIMER,BEEPS,BEEPTimer
定时器,TIMER,BEEPS,BEEPTimer
叉车蜂鸣,VEHICLE,BEEPS,BEEPVeh
备用蜂鸣,VEHICLE,BEEPS,BEEPVeh
狗铃,ANIMAL,BELLS,BELLAnml
猫铃,ANIMAL,BELLS,BELLAnml
门铃,DOORBELL,BELLS,BELLDoor
手摇铃,HANDBELL,BELLS,BELLHand
晚餐铃,HANDBELL,BELLS,BELLHand
校铃,HANDBELL,BELLS,BELLHand
雪橇铃,HANDBELL,BELLS,BELLHand
寺庙钟,LARGE,BELLS,BELLLrg
教堂钟,LARGE,BELLS,BELLLrg
大钟,LARGE,BELLS,BELLLrg
自行车铃,MISC,BELLS,BELLMisc
服务铃,MISC,BELLS,BELLMisc
呼叫铃,MISC,BELLS,BELLMisc
鹞,BIRD OF PREY,BIRDS,BIRDPrey
喜鹊,CROW,BIRDS,BIRDCrow
天鹅,FOWL,BIRDS,BIRDFowl
鹧鸪,FOWL,BIRDS,BIRDFowl
绒鸭,FOWL,BIRDS,BIRDFowl
鹌鹑,FOWL,BIRDS,BIRDFowl
雷鸟,FOWL,BIRDS,BIRDFowl
杜鹃,MISC,BIRDS,BIRDMisc
夜鹰,MISC,BIRDS,BIRDMisc
塘鹅,SEA,BIRDS,BIRDSea
信天翁,SEA,BIRDS,BIRDSea
鸬鹚,SEA,BIRDS,BIRDSea
鹈鹕,SEA,BIRDS,BIRDSea
海燕,SEA,BIRDS,BIRDSea
燕鸥,SEA,BIRDS,BIRDSea
军舰鸟,SEA,BIRDS,BIRDSea
鲣鸟,SEA,BIRDS,BIRDSea
鸻,SEA,BIRDS,BIRDSea
鹬,SEA,BIRDS,BIRDSea
海雀,SEA,BIRDS,BIRDSea
燕子,SONGBIRD,BIRDS,BIRDSong
唐纳雀,SONGBIRD,BIRDS,BIRDSong
画眉,SONGBIRD,BIRDS,BIRDSong
莺,SONGBIRD,BIRDS,BIRDSong
山雀,SONGBIRD,BIRDS,BIRDSong
云雀,SONGBIRD,BIRDS,BIRDSong
八哥,SONGBIRD,BIRDS,BIRDSong
黑鸟,SONGBIRD,BIRDS,BIRDSong
鸫鸟,SONGBIRD,BIRDS,BIRDSong
黑鸟,SONGBIRD,BIRDS,BIRDSong
巨嘴鸟,TROPICAL,BIRDS,BIRDTrop
笑翠鸟,TROPICAL,BIRDS,BIRDTrop
琴鸟,TROPICAL,BIRDS,BIRDTrop
金刚鹦鹉,TROPICAL,BIRDS,BIRDTrop
犀鸟,TROPICAL,BIRDS,BIRDTrop
长尾小鹦鹉,TROPICAL,BIRDS,BIRDTrop
琵鹭,TROPICAL,BIRDS,BIRDTrop
琵鹭,WADING,BIRDS,BIRDWade
鹳,WADING,BIRDS,BIRDWade
苍鹭,WADING,BIRDS,BIRDWade
鹬,WADING,BIRDS,BIRDWade
风扇船,AIR BOAT,BOATS,BOATAir
气垫船,AIR BOAT,BOATS,BOATAir
气垫船,AIR BOAT,BOATS,BOATAir
香蕉船,AIR BOAT,BOATS,BOATAir
船浪,BOW WASH,BOATS,BOATWash
船波,BOW WASH,BOATS,BOATWash
液压门,DOOR,BOATS,BOATDoor
拖钓马达,ELECTRIC,BOATS,BOATElec
电动马达,ELECTRIC,BOATS,BOATElec
捕蟹船,FISHING,BOATS,BOATFish
拖网渔船,FISHING,BOATS,BOATFish
围网船,FISHING,BOATS,BOATFish
线船,FISHING,BOATS,BOATFish
挖泥船,FISHING,BOATS,BOATFish
刺网船,FISHING,BOATS,BOATFish
研究船,FISHING,BOATS,BOATFish
船喇叭,HORN,BOATS,BOATHorn
拖船喇叭,HORN,BOATS,BOATHorn
海军,INTERIOR,BOATS,BOATInt
军船,INTERIOR,BOATS,BOATInt
游艇,INTERIOR,BOATS,BOATInt
油轮,INTERIOR,BOATS,BOATInt
索具,MECHANISM,BOATS,BOATMech
船轮,MECHANISM,BOATS,BOATMech
锚,MECHANISM,BOATS,BOATMech
战列巡洋舰,MILITARY,BOATS,BOATMil
护卫舰,MILITARY,BOATS,BOATMil
快速攻击船,MILITARY,BOATS,BOATMil
桨船,MISC,BOATS,BOATMisc
个人渔船,MOTORBOAT,BOATS,BOATMotr
浮筒船,MOTORBOAT,BOATS,BOATMotr
鸭子船,MOTORBOAT,BOATS,BOATMotr
小艇,MOTORBOAT,BOATS,BOATMotr
水上飞机,RACING,BOATS,BOATRace
水翼艇,RACING,BOATS,BOATRace
喷射艇,RACING,BOATS,BOATRace
手摇船,ROWBOAT,BOATS,BOATRow
独木舟,ROWBOAT,BOATS,BOATRow
单桅帆船,SAILBOAT,BOATS,BOATSail
双桅船,SAILBOAT,BOATS,BOATSail
风动船,SAILBOAT,BOATS,BOATSail
大船,SHIP,BOATS,BOATShip
油轮,SHIP,BOATS,BOATShip
蒸汽明轮船,STEAM,BOATS,BOATStm
明轮船,STEAM,BOATS,BOATStm
声纳,SUBMARINE,BOATS,BOATSub
水下录音,UNDERWATER,BOATS,BOATUndwtr
子弹飞过,BY,BULLETS,BLLTBy
子弹经过,BY,BULLETS,BLLTBy
子弹擦过,BY,BULLETS,BLLTBy
子弹撞击,IMPACT,BULLETS,BLLTImpt
子弹击中,IMPACT,BULLETS,BLLTImpt
中弹,IMPACT,BULLETS,BLLTImpt
各种各样的,MISC,BULLETS,BLLTMisc
可爱动物叫,ANIMAL,CARTOON,TOONAnml
憨憨动物声,ANIMAL,CARTOON,TOONAnml
卡通弹跳声,BOING,CARTOON,TOONBoing
刀光,CLANG,CARTOON,TOONClang
牛皮筋,CREAK,CARTOON,TOONCreak
灯泡喇叭,HORN,CARTOON,TOONHorn
小丑喇叭,HORN,CARTOON,TOONHorn
duang,IMPACT,CARTOON,TOONImpt
卡通机器,MACHINE,CARTOON,TOONMach
吸盘,POP,CARTOON,TOONPop
泡泡爆破,POP,CARTOON,TOONPop
嘎嘎声,SHAKE,CARTOON,TOONShake
卡通液体声,SPLAT,CARTOON,TOONSplt
拉紧,STRETCH,CARTOON,TOONStrch
闪白,SWISH,CARTOON,TOONSwsh
拨尺声,TWANG,CARTOON,TOONTwang
弹尺声,TWANG,CARTOON,TOONTwang
异型车,VEHICLE,CARTOON,TOONVeh
特殊载具,VEHICLE,CARTOON,TOONVeh
非人类叫声,VOCAL,CARTOON,TOONVox
滑哨,WHISTLE,CARTOON,TOONWhis
哨音,WHISTLE,CARTOON,TOONWhis
上拉,ZIP,CARTOON,TOONZip
破坏,BREAK,CERAMICS,CERMBrk
尖叫声,FRICTION,CERAMICS,CERMFric
拿到,HANDLE,CERAMICS,CERMHndl
各种各样的,MISC,CERAMICS,CERMMisc
自行车链,HANDLE,CHAINS,CHAINHndl
张力断裂,IMPACT,CHAINS,CHAINImpt
各种各样的,MISC,CHAINS,CHAINMisc
