id,组别,方向,测试词/短句,结果(最新后端),AI(NLLB)是否参与,NLLB token,unknown未译token,每token来源
BOOM-026,BOOM参考中文,中→英,骨头 摇晃,Bones Shake,否,,,override override
BOOM-027,BOOM参考中文,中→英,大 链条,Big Chain,否,,,override override
BOOM-028,BOOM参考中文,中→英,提尔 号角,Tyr Horn,否,,,override override
BOOM-029,BOOM参考中文,中→英,上升 动作 移动,Rise Action Move,否,,,override override override
BOOM-030,BOOM参考中文,中→英,拳击手套 沙发 靠垫 重摔,Boxing Glove Couch Pillow Drop Hard,否,,,override override override override
BOOM-031,BOOM参考中文,中→英,内脏 嘴 气泡,Guts Mouth Bubble,否,,,override override override
BOOM-032,BOOM参考中文,中→英,抽吸 装置,Suction Device,否,,,override override
BOOM-033,BOOM参考中文,中→英,上升 风铃 闪烁 频移,Rise Chime Sparkling Freq Shift,否,,,override override override override
BOOM-034,BOOM参考中文,中→英,盒子 关闭 锁扣 中等,Box Close Lock Medium,否,,,override override override override override
BOOM-035,BOOM参考中文,中→英,咖啡机 组装,Espresso Machine Assemble,否,,,override override
BOOM-036,BOOM参考中文,中→英,空气感 绕卷,Airy Winding,否,,,override override
BOOM-037,BOOM参考中文,中→英,木琴 延迟 闪烁 颤音,Xylophone Delay Sparkling Tremolo,否,,,override override override override
BOOM-038,BOOM参考中文,中→英,书本 掉落 低沉,Book Drop Subdued,否,,,override override override
BOOM-039,BOOM参考中文,中→英,多层 纸张 近距离 操作,Several Layers Paper Close Handling,否,,,override override override override
BOOM-040,BOOM参考中文,中→英,购物袋 脆响 用力,Shopping Bag Snappy Hard,否,,,override override override
BOOM-041,BOOM参考中文,中→英,森林 滴水,Forest Dripping,否,,,override override
BOOM-042,BOOM参考中文,中→英,脆饼 断裂,Crispbread Break,否,,,override override
BOOM-043,BOOM参考中文,中→英,狗玩具 摩擦 呻吟 长,Dog Toy Rub Groan Long,否,,,override override override override
BOOM-044,BOOM参考中文,中→英,科幻 能量 激烈 短,Sci Energy Aggressive Short,否,,,override override override override
BOOM-045,BOOM参考中文,中→英,老式 旱冰鞋 滚动,Old Roller Skate Roll,否,,,override override override
BOOM-046,BOOM参考中文,中→英,呼啸 全员登船,Whoosh All Aboard,否,,,override override
BOOM-047,BOOM参考中文,中→英,斧头 劈 木头,Axe Splitting Wood,否,,,override override override
BOOM-048,BOOM参考中文,中→英,牛叫盒 长,Moo Box Long,否,,,override override
BOOM-049,BOOM参考中文,中→英,界面 故障 降噪,Interface Glitch Denoised,否,,,override override override
BOOM-050,BOOM参考中文,中→英,挤压 蔬菜 持续,Squeeze Vegetables Constant,否,,,override override override
REC-001,个人录音抽样,中→英,钢球 掉落 瓷砖 清脆 明亮 叮当,Steel Ball Drop Tiles Crisp Bright Jingle,否,,,override override override override override override
REC-002,个人录音抽样,中→英,磁铁 碰撞 哑铃 沉重 叮当,Magnet Bump Dumbbell Hard Jingle,否,,,override override override override override
REC-003,个人录音抽样,中→英,齿轮 滚动 木地板 闷响 摇晃,Gear Roll Wood Floor Thud Shake,否,,,override override override override override
REC-004,个人录音抽样,中→英,卷心菜 刀 刺入,Cabbage Knife Stab,否,,,override override override
REC-005,个人录音抽样,中→英,西瓜 斧头 切割,Watermelon Axe Cutting,否,,,override override override
REC-006,个人录音抽样,中→英,西瓜 刺入,Watermelon Stab,否,,,override override
REC-007,个人录音抽样,中→英,剑 撞击 中等,Sword Impact Medium,否,,,override override override override
REC-008,个人录音抽样,中→英,剑 泥刀 刮擦 余响,Sword Trowel Scrape Ringout,否,,,override override override override
REC-009,个人录音抽样,中→英,剑 铁杆 摩擦 长,Sword Iron Bar Rub Long,否,,,override override override override
REC-010,个人录音抽样,中→英,链条 齿轮 金属 摩擦,Chain Gear Metal Rub,否,,,override override override override
REC-011,个人录音抽样,中→英,碳化钨 掉落 混凝土 长条,Tungsten Carbide Drop Concrete Long Piece,否,,,override override override override
REC-012,个人录音抽样,中→英,碳化钨 掉落 混凝土 小块,Tungsten Carbide Drop Concrete Small Piece,否,,,override override override override
REC-013,个人录音抽样,中→英,碳化钨 刮擦 混凝土 纹理,Tungsten Carbide Scrape Concrete Texture,否,,,override override override override
REC-014,个人录音抽样,中→英,镲片 拖动 橡胶棒 小 干,Cymbal Drag Rubber Rod Small Dry,否,,,override override override override override
REC-015,个人录音抽样,中→英,缝纫机 转动 手轮 左 老旧 中等 尾音,Sewing Machine Turn Handwheel Left Old Medium Tail,否,,,override override override override override override override override
REC-016,个人录音抽样,中→英,缝纫机 转动 手轮 右 老旧 快速 尾音,Sewing Machine Turn Handwheel Right Old Fast Tail,否,,,override override override override override override override
REC-017,个人录音抽样,中→英,缝纫机 转动 手轮 右 老旧 缓慢 尾音,Sewing Machine Turn Handwheel Right Old Slow Tail,否,,,override override override override override override override
REC-018,个人录音抽样,中→英,街机摇杆 点击,Arcade Stick Click,否,,,override override
REC-019,个人录音抽样,中→英,风鸣器 旋转 乳胶 橡胶 向后 呼啸,Wind Singer Spin Latex Rubber Downwards Whoosh,否,,,override override override override override override
REC-020,个人录音抽样,中→英,气泡膜 摩擦 褶皱 揉皱 操作,Bubble Wrap Rub Crinkle Crumple Handling,否,,,override override override override override override
REC-021,个人录音抽样,中→英,干燥箱门 中等 吱呀 复杂,Dry Box Door Medium Creak Complex,否,,,override override override override override
REC-022,个人录音抽样,中→英,奥林巴斯相机 变焦 进出 摇杆 开关 马达,Olympus Camera Zoom In Out Rocker Switch Motor,否,,,override override override override override override
REC-023,个人录音抽样,中→英,钢球 滚动 纹理瓷砖 返回 稳定 刮擦,Steel Ball Roll Textured Tile Back Steady Scrape,否,,,override override override override override override
REC-024,个人录音抽样,中→英,陶瓷碗 堆叠 撞击 易碎,Ceramic Bowl Stack Impact Brittle,否,,,override override override cedict
REC-025,个人录音抽样,中→英,竹筷 空心 点击 碰撞,Bamboo Chopsticks Hollow Click Bump,否,,,override cedict override override
REC-026,个人录音抽样,中→英,木棍 击打 钢墙 戳,Wood Stick Hit Steel Wall Jab,否,,,override override override cedict
REC-027,个人录音抽样,中→英,厚 空心 木管 吹气,Thick Hollow Wood Tube Blow,否,,,override cedict override override
REC-028,个人录音抽样,中→英,水气球 掉落 地面,Water Balloon Drop Ground,否,,,override override override
REC-029,个人录音抽样,中→英,火炬 燃烧 滴落 洞穴,Torch Burn Drips Cave,否,,,override override override override
REC-030,个人录音抽样,中→英,汽油罐 火焰 爆发 短 洞口,Gas Can Flame Burst Short Cave Mouth,否,,,override override phrase override
REC-031,个人录音抽样,中→英,石块 滑过 岩石 洞口,Rock Slide Cave Mouth,否,,,override override override override
REC-032,个人录音抽样,中→英,中型石头 滚过 碎屑堆 洞穴,Medium Rock Roll On Debris Pile Cave,否,,,override override override override
REC-033,个人录音抽样,中→英,中型石头 撞击 石堆 洞穴,Medium Rock Impact Pile Cave,否,,,override override override override
REC-034,个人录音抽样,中→英,干冰 烤盘 木头 尖叫,Dry Ice Baking Pan Wood Scream,否,,,override override override override
REC-035,个人录音抽样,中→英,干冰 碗 尖叫 摇晃 颤动,Dry Ice Bowl Scream Shake Flutter,否,,,override override override override override
REC-036,个人录音抽样,中→英,干冰 铜盖 按压 木头,Dry Ice Copper Lid Press Wood,否,,,override override override override
REC-037,个人录音抽样,中→英,干冰 哑铃 按压 尖叫,Dry Ice Dumbbell Press Scream,否,,,override override override override
REC-038,个人录音抽样,中→英,干冰 叉子 尖叫 颤动 木头,Dry Ice Fork Scream Flutter Wood,否,,,override override override override override
REC-039,个人录音抽样,中→英,干冰 楼梯扶手 中等 尖叫 沉闷,Dry Ice Ladder Handrail Medium Scream Dull,否,,,override override override override override override
REC-040,个人录音抽样,中→英,干冰 楼梯踏板 中等 尖叫 沉闷,Dry Ice Ladder Tread Medium Scream Dull,否,,,override override override override override override
REC-041,个人录音抽样,中→英,干冰 螺母 尖叫 摇晃 颤动,Dry Ice Nut Scream Shake Flutter,否,,,override override override override override
REC-042,个人录音抽样,中→英,干冰 勺子 尖叫 颤动 木头,Dry Ice Spoon Scream Flutter Wood,否,,,override override override override override
REC-043,个人录音抽样,中→英,干冰 音叉 尖叫 摇晃 颤动 按压 木头,Dry Ice Tuning Fork Scream Shake Flutter Press Wood,否,,,override override override override override override override
REC-044,个人录音抽样,中→英,干冰 铜罐 摩擦 滚动 颗粒 木头,Dry Ice Copper Can Rub Roll Granular Wood,否,,,override override override override override override
REC-045,个人录音抽样,中→英,干冰 金属签 摇晃 颤动 木头,Dry Ice Metal Skewer Shake Flutter Wood,否,,,override override override override override
REC-046,个人录音抽样,中→英,冰 斧 刮擦 摩擦 冰砖,Ice Axe Scrape Rub,否,,,override override override override override
REC-047,个人录音抽样,中→英,大冰块 相互 按压,Large Ice Cubes Mutual Press,否,,,override override override
REC-048,个人录音抽样,中→英,薄冰 胡桃夹,Thin Ice Nutcracker,否,,,override override
REC-049,个人录音抽样,中→英,冰 锡纸盘 圆形 脱模,Ice Tin Foil Pan Circular Demold,否,,,override override override override
REC-050,个人录音抽样,中→英,直玻璃 持续 鸣响,Straight Glass Constant Ring,否,,,override override override
MIX-001,中英混合非写实,中→英,metal 摩擦 anvil 刺耳的,Metal Rub Anvil Harsh,否,,,protected override protected override
MIX-002,中英混合非写实,中→英,magic 电涌 impact long tail,Magic Power Surge Impact Long Tail,否,,,protected override protected protected protected
MIX-003,中英混合非写实,中→英,arcane 能量 burst,Arcane Energy Burst,否,,,protected override protected
MIX-004,中英混合非写实,中→英,魔法 whoosh 上升,Magic Whoosh Rise,否,,,override protected override
MIX-005,中英混合非写实,中→英,electric 奥术 crackle,Electric Arcane Crackle,否,,,protected override protected
MIX-006,中英混合非写实,中→英,plasma 电弧 short impact,Plasma Arc Short Impact,否,,,protected override protected protected
MIX-007,中英混合非写实,中→英,rune 激活 shimmer,Rune Activate Shimmer,否,,,protected override protected
MIX-008,中英混合非写实,中→英,portal 打开 deep whoosh,Portal Open Deep Whoosh,否,,,protected override protected protected
MIX-009,中英混合非写实,中→英,spell 充能 闪烁,Spell Charge Sparkling,否,,,protected override override
MIX-010,中英混合非写实,中→英,mana 爆发 bright tail,Mana Burst Bright Tail,否,,,protected override protected protected
MIX-011,中英混合非写实,中→英,dragon 呼吸 fire burst,Dragon Breath Fire Burst,否,,,protected override protected protected
MIX-012,中英混合非写实,中→英,ghost 低语 distant,Ghost Whisper Distant,否,,,protected override protected
MIX-013,中英混合非写实,中→英,crystal 共振 magic,Crystal Resonance Magic,否,,,protected override protected
MIX-014,中英混合非写实,中→英,void 冲击 low rumble,Void Punch Low Rumble,否,,,protected override protected protected
MIX-015,中英混合非写实,中→英,thunder 电涌 arcane,Thunder Power Surge Arcane,否,,,protected override protected
MIX-016,中英混合非写实,中→英,cyber 魔法 glitch,Cyber Magic Glitch,否,,,protected override protected
MIX-017,中英混合非写实,中→英,laser 奥术 sweep,Laser Arcane Sweep,否,,,protected override protected
MIX-018,中英混合非写实,中→英,metal door 魔法撞击,Metal Door Magic Impact,否,,,protected protected override
MIX-019,中英混合非写实,中→英,energy core 过载,Energy Core Overload,否,,,protected protected override
MIX-020,中英混合非写实,中→英,ancient 符文 hum,Ancient Rune Hum,否,,,protected override protected
MIX-021,中英混合非写实,中→英,electric chain 摇晃,Electric Chain Shake,否,,,protected protected override
MIX-022,中英混合非写实,中→英,magic 护盾 impact,Magic Shield Impact,否,,,protected override protected
MIX-023,中英混合非写实,中→英,plasma 剑 whoosh,Plasma Sword Whoosh,否,,,protected override protected
MIX-024,中英混合非写实,中→英,arcane 铃 ring,Arcane Bell Ring,否,,,protected override protected
MIX-025,中英混合非写实,中→英,portal 关闭 heavy,Portal Close Heavy,否,,,protected override protected
MIX-026,中英混合非写实,中→英,spell 失败 glitch,Spell Fail Glitch,否,,,protected override protected
MIX-027,中英混合非写实,中→英,fireball 爆炸 long tail,Fireball Explosion Long Tail,否,,,protected override protected protected
MIX-028,中英混合非写实,中→英,ice 魔法 crack,Ice Magic Crack,否,,,protected override protected
MIX-029,中英混合非写实,中→英,shadow 移动 soft,Shadow Move Soft,否,,,protected override protected
MIX-030,中英混合非写实,中→英,holy 风铃 bright,Holy Chime Bright,否,,,protected override protected
MIX-031,中英混合非写实,中→英,demon 低吼 distant,Demon Low Growl Distant,否,,,protected override override protected
MIX-032,中英混合非写实,中→英,alien 装置 charge,Alien Device Charge,否,,,protected override protected
MIX-033,中英混合非写实,中→英,robot servo 电涌,Robot Servo Power Surge,否,,,protected protected override
MIX-034,中英混合非写实,中→英,magical 布料 flap,Magical Cloth Flap,否,,,protected override protected
MIX-035,中英混合非写实,中→英,enchanted 玻璃 shatter,Enchanted Glass Shatter,否,,,protected override protected
MIX-036,中英混合非写实,中→英,rune 石头 impact,Rune Stone Impact,否,,,protected override protected
MIX-037,中英混合非写实,中→英,arcane 水 splash,Arcane Water Splash,否,,,protected override protected
MIX-038,中英混合非写实,中→英,electric 风暴 ambience,Electric Storm Ambience,否,,,protected override protected
MIX-039,中英混合非写实,中→英,magic 粉尘 sparkle,Magic Dust Sparkle,否,,,protected override protected
MIX-040,中英混合非写实,中→英,void 传送门 rumble,Void Portal Rumble,否,,,protected override protected
MIX-041,中英混合非写实,中→英,sword 奥术碰撞,Sword Arcane Collision,否,,,protected override
MIX-042,中英混合非写实,中→英,shield 电涌反弹,Shield Power Surge Rebound,否,,,protected override
MIX-043,中英混合非写实,中→英,wand 魔法挥动,Wand Magic Whoosh,否,,,protected override
MIX-044,中英混合非写实,中→英,crystal 电流碎裂,Crystal Electric Shatter,否,,,protected override
MIX-045,中英混合非写实,中→英,spectral 链条 rattle,Spectral Chain Rattle,否,,,protected override protected
MIX-046,中英混合非写实,中→英,mana 光束 sweep,Mana Beam Sweep,否,,,protected override protected
MIX-047,中英混合非写实,中→英,ancient 机关 unlock,Ancient Mechanism Unlock,否,,,protected override protected
MIX-048,中英混合非写实,中→英,cosmic 爆炸 deep tail,Cosmic Explosion Deep Tail,否,,,protected override protected protected
MIX-049,中英混合非写实,中→英,magic 界面 confirm,Magic Interface Confirm,否,,,protected override protected
MIX-050,中英混合非写实,中→英,arcane 警报 ring,Arcane Alarm Ring,否,,,protected override protected
