case_id,input_text,current_fxname,current_status,unknown_tokens,review_tokens,suggested_raw,suggested_canonical,suggested_slot,suggestion_type,decision,decision_reason,source,priority,next_action
027,碰,,needs_review,,碰,,,,no_action,pending,canonical_review_row_exists=碰;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
028,响,,needs_review,,响,,,,no_action,pending,canonical_review_row_exists=响;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
029,动,,needs_review,,动,,,,no_action,pending,canonical_review_row_exists=动;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
030,甩,,needs_review,,甩,,,,no_action,pending,canonical_review_row_exists=甩;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
031,摔,,needs_review,,摔,,,,no_action,pending,canonical_review_row_exists=摔;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
032,震,,unknown,震,,震,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
033,抖,,unknown,抖,,抖,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
034,破,,unknown,破,,破,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
035,裂,,unknown,裂,,裂,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
036,碎,,unknown,碎,,碎,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
037,打门,Door Knock,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
038,砸门,Door Bang,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
039,打鼓,Drum Hit,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
040,打枪,Gun Fire,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
041,碰杯,Glass Clink,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
042,轻碰桌边,Table Bump,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
043,甩衣服,Cloth Flap,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
044,甩鞭,Whip Crack,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
045,金属响,Metal Resonance,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
046,铃响,Bell Ring,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
047,划过水面,Water,needs_review,面,划过,面,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
047,划过水面,Water,needs_review,面,划过,,,,no_action,pending,canonical_review_row_exists=划过;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
048,来回摩擦毛毯,Carpet Rub,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
049,轻蹭墙皮,Light Rub,partial,墙皮,,墙皮,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
050,敲黑板,Knock Plate,partial,黑,,黑,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
050,敲黑板,Knock Plate,partial,黑,,板,Plate,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
051,打火机,Lighter Click,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
052,打雷,Thunder Rumble,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
053,打字,Keyboard Typing,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
054,打水漂,Stone Skip Water,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
055,打蛋,Egg Whisk,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
056,打喷嚏,Sneeze,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
057,打电话,Telephone,needs_review,,打,,,,no_action,pending,canonical_review_row_exists=打;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
058,打包,,needs_review,包,打,包,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
058,打包,,needs_review,包,打,,,,no_action,pending,canonical_review_row_exists=打;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
059,打磨金属,Metal Grind,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
060,打滑轮胎,Tire Skid,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
061,碰到麦架,Mic Stand Bump,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
062,碰倒玻璃杯,Glass Cup Knock Over,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
063,石头互碰,Rock Clack,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
064,塑料盒互碰,Plastic Box Clack,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
065,金属杆相碰,Metal Rod Clank,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
066,轻碰麦克风,Mic Bump,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
067,碰撞测试,Impact Test Tone,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
068,身体碰墙,Body Bump Wall,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
069,头撞门,Impact Door,partial,头,,头,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
070,膝盖碰桌子,Table,needs_review,膝盖,碰,膝盖碰桌子,Knee Bump Table,phrase,phrase_missing,pending,multiple_unresolved_tokens;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,add_phrase_candidate
071,门响,Door,needs_review,,响,,,,no_action,pending,canonical_review_row_exists=响;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
072,链条响,Chain Rattle,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
073,风扇响,Fan Whir,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
074,水管响,Water,needs_review,管,响,管,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
074,水管响,Water,needs_review,管,响,,,,no_action,pending,canonical_review_row_exists=响;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
075,木板响,Wood Plate,needs_review,,响,,,,no_action,pending,canonical_review_row_exists=响;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
076,肚子响,Stomach Growl,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
077,机器响,Machine,needs_review,,响,,,,no_action,pending,canonical_review_row_exists=响;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
078,警报响,Alarm Ring,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
079,金属片响,Metal Sheet Rattle,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
080,硬币响,Coin Jingle,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
081,甩毛巾,Towel Flap,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
082,甩水,Water Flick,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
083,甩尾巴,Tail Swing,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
084,甩刀,Knife Whoosh,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
085,甩棍,Stick Whoosh,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
086,甩手,Hand Whoosh,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
087,甩门,Door Slam,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
088,甩出去,,needs_review,出,甩,出,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
088,甩出去,,needs_review,出,甩,,,,no_action,pending,canonical_review_row_exists=甩;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
089,甩绳子,Rope Swing,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
090,甩鞭尾音,Whip Crack,partial,尾音,,,,,surface_cleanup_needed,pending,surface_exception_requires_review;raw=尾音;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
091,划火柴,Scratch Fire,partial,柴,,柴,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
092,划船,Boat Row,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
093,划玻璃,Glass Scratch,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
094,划过空气,Air,needs_review,,划过,,,,no_action,pending,canonical_review_row_exists=划过;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
094,划过空气,Air,needs_review,,划过,空气,Air,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
095,划破布料,Scratch Cloth,partial,破,,破,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
096,划开纸箱,Scratch Cardboard Box,partial,开,,开,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
097,划水面,Scratch Water,partial,面,,面,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
098,划痕,Scratch,partial,痕,,痕,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
099,划线,Scratch,partial,线,,线,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
100,刀划木头,Knife Scratch Wood,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
101,刮风,Wind Gust,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
102,刮胡子,Scrape,partial,胡子,,胡子,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
103,刮彩票,Scrape,partial,彩票,,彩票,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
104,刮墙皮,Scrape,partial,墙皮,,墙皮,Wall,detail,needs_human_decision,pending,missing_alias;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
105,刮锅底,Scrape,partial,锅底,,锅底,Pan,detail,needs_human_decision,pending,missing_alias;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
106,刮金属管,Scrape Metal,partial,管,,管,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
107,剐蹭护栏,Scuff,partial,护栏,,护栏,Guardrail,detail,needs_human_decision,pending,missing_alias;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
108,蹭墙,Rub,partial,墙,,墙,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
109,蹭衣服,Cloth Rub,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
110,蹭地板,Floor Scuff,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
111,脚底打滑,Skid,partial,脚底,,脚底,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
111,脚底打滑,Skid,partial,脚底,,打滑,Skid,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
112,车轮打滑,Tire Skid,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
113,抽屉滑出,Drawer,partial,滑出,,滑出,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
114,木门滑开,Wood Door Slide Open,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
115,金属片滑落,Metal Plate,partial,滑落,,滑落,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
115,金属片滑落,Metal Plate,partial,滑落,,片,Plate,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
116,冰块滑过地面,Ice Block Slide,partial,地面,,地面,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
116,冰块滑过地面,Ice Block Slide,partial,地面,,块,Block,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
117,鼠标滑动,Slide,partial,鼠标,,鼠标,Mouse,detail,needs_human_decision,pending,missing_alias;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
118,滑板滑行,Skateboard Roll,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
119,雪地滑行,Snow Skid,partial,地,,地,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
119,雪地滑行,Snow Skid,partial,地,,雪,Snow,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
119,雪地滑行,Snow Skid,partial,地,,滑行,Skid,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
120,布料滑过皮肤,Cloth Slide Skin,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
121,玻璃杯摔碎,Glass,needs_review,杯;碎,摔,玻璃杯摔碎,Glass Cup Shatter,phrase,phrase_missing,pending,multiple_unresolved_tokens;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,add_phrase_candidate
122,手机摔地,Cellphone,needs_review,地,摔,手机摔地,Phone Drop Impact,phrase,phrase_missing,pending,multiple_unresolved_tokens;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,add_phrase_candidate
122,手机摔地,Cellphone,needs_review,地,摔,手机,Cellphone,detail,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
123,人摔倒,Human,needs_review,倒,摔,人摔倒,Body Fall,phrase,phrase_missing,pending,multiple_unresolved_tokens;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,add_phrase_candidate
123,人摔倒,Human,needs_review,倒,摔,人,Human,object,slot_mismatch,pending,glossary_fallback_unknown_slot;expected_output_mismatch;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,adjust_rule
124,摔门,Door,needs_review,,摔,,,,no_action,pending,canonical_review_row_exists=摔;do_not_duplicate_raw;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
125,摔书,Book Drop,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
126,石头砸地,Stone Impact,partial,地,,地,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
127,锤子砸铁板,Hammer Hit Metal Plate,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
128,重物砸木箱,Heavy Impact Wood Box,partial,物,,物,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
129,砸碎玻璃,Impact Glass,partial,碎,,碎,,,needs_human_decision,pending,canonical_mapping_uncertain;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
130,苹果掉地上,Apple Drop Floor,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
131,玻璃碎裂,Glass Shatter,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
132,木头裂开,Wood,partial,裂开,,裂开,Crack,detail,needs_human_decision,pending,missing_alias;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
133,冰面裂开,Ice,partial,面裂开,,面裂开,Crack,detail,needs_human_decision,pending,missing_alias;needs_human_decision;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,needs_user_review
134,布料撕裂,Cloth Tear,pass,,,,,,no_action,pending,normalize_result_accepted;case_source=tests/zh_fxname_governance_cases_150.csv,batch_test_candidate,0,ignore
