raw,canonical_guess,kind,slot_guess,record_count,field_hit_count,example_count,score,decision,reason,source_fields,example_1,example_2,example_3,catid_samples,category_samples,source_files,fx_name_hits,description_hits,keywords_hits,filename_hits,field_quality,example_quality,category_alignment,existing_canonical_status,approved_for_ai,qa_flags
small,Small,token,unknown,1090,2189,3,30,reject,record_count>=1000 +25; field_diversity>=1.5 +10; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown; governed_aliases=1,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Mountain Small Creek Goats Bells Spain"",""description"":""OS DE CIVÌS - Mountain with small creek. Water splatter and goats with bells ringing throughout. Occasional bird twitter."",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Mountain Village Small Square Fountain Spain"",""description"":""OS DE CIVÌS - Mountain square with water fountain. Water splatter throughout. Car door close at times."",""category"":""AMBIENCE/RURAL"",""cat_id"":""AMBRurl""}","{""fx_name"":""Small Fishing Village Bay Boat Traffic Noise Germany"",""description"":""Fishing village bay. Waves lapping, birds and distant boat traffic throughout."",""category"":""AMBIENCE/SEASIDE"",""cat_id"":""AMBSea""}",AMBRurl; AMBSea; AMBMrkt; AMBTraf,AMBIENCE/RURAL; AMBIENCE/SEASIDE; AMBIENCE/MARKET; AMBIENCE/TRAFFIC,00_3DS07_European_Life_Metadata_Stereo.xlsx#3DS07 European Life 2.0,20,0,0,0,medium,high,weak,existing_keep,no,category_mismatch;rejected_evidence
group,Group,token,unknown,1067,1073,3,10,reject,record_count>=1000 +25; appears_in_fx_name +15; metadata_noise -30; policy=hard_reject,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Indo Pacific Bottlenose Group"",""description"":""Long and stable clicks. Added whistles in the last variation."",""category"":""ANIMALS/AQUATIC"",""cat_id"":""ANMLAqua""}","{""fx_name"":""Group Shots 01 100m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 100m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}","{""fx_name"":""Group Shots 01 120m"",""description"":""Antique artillery bombardment, multiple historic cannons firing in sequence. XY positioned 120m away from cannons."",""category"":""GUNS/CANNON"",""cat_id"":""GUNCano""}",GUNCano; ANMLAqua,GUNS/CANNON; ANIMALS/AQUATIC,00_Cannons_CK_Metadata.xlsx#CACK; 00_Aquatic_Predators_Metadata.xlsx#Aquatic Predators,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
world,World,token,unknown,1051,1052,3,5,reject,record_count>=1000 +25; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Burst Shockwave"",""description"":""Space laser weapon, outer world gunshots."",""category"":""EXPLOSIONS/DESIGNED"",""cat_id"":""EXPLDsgn""}","{""fx_name"":""Digital Enchantment"",""description"":""Robotic world ambience, machines paradise."",""category"":""DESIGNED/GRANULAR"",""cat_id"":""DSGNGran""}","{""fx_name"":"""",""description"":""Urban traffic is free flowing with light cars and trucks, horns frequent, faint babble, siren prominent. Distinctly Third World. Loop."",""category"":"""",""cat_id"":""""}",GUNRif; GUNAuto; EXPLDsgn; DSGNGran,GUNS/RIFLE; GUNS/AUTOMATIC; EXPLOSIONS/DESIGNED; DESIGNED/GRANULAR,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; 00_MATTER_Metadata.xlsx#MATTER; 00_NP_Urban_and_Suburban_Metadata.xlsx#Tabelle1,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
very,Very,token,unknown,1035,1144,3,20,reject,record_count>=1000 +25; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Camel Growl Male Throaty Very Short"",""description"":""Domestic, Bactrian, Mammal. Agitated, short, throaty groaning and growling."",""category"":""ANIMALS/MISC"",""cat_id"":""ANMLMisc""}","{""fx_name"":""Emu Thumping Very Low Hard"",""description"":""Wild. Very low, booming, bass heavy thumping sequences."",""category"":""BIRDS/MISC"",""cat_id"":""BIRDMisc""}","{""fx_name"":""Emu Thumping Very Low Soft"",""description"":""Wild. Very low, soft, booming, bass heavy thumping sequences."",""category"":""BIRDS/MISC"",""cat_id"":""BIRDMisc""}",BIRDMisc; HORNTrad; ANMLMisc; ANMLWcat; ANMLFarm,BIRDS/MISC; HORNS/TRADITIONAL; ANIMALS/MISC; ANIMALS/CAT WILD; ANIMALS/FARM,00_Alien_Life_CK_Metadata.xlsx#ALCK; 00_Magic_Wisp_CK_Metadata.xlsx#MAWCK; 00_Nordic_War_Horns_Metadata.xlsx#Horns; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
tail,Tail,token,unknown,1026,1344,3,20,reject,record_count>=1000 +25; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Bell White Noise Tail"",""description"":""Glimmering bell sound with white noise tail."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Breath Tail"",""description"":""Brief detonation characterised by a breath-like tail."",""category"":""EXPLOSIONS/DESIGNED"",""cat_id"":""EXPLDsgn""}","{""fx_name"":""Distorted Clean Tail"",""description"":""Brief and intense detonation characterised by a clean yet distorted tail."",""category"":""EXPLOSIONS/DESIGNED"",""cat_id"":""EXPLDsgn""}",EXPLDsgn; GUNCano; DSGNSynth; WATRSplsh; DSGNTonl,EXPLOSIONS/DESIGNED; #REF!/#REF!; DESIGNED/SYNTHETIC; GUNS/CANNON; DESIGNED/TONAL,00_Anime_Essentials_Metadata.xlsx#Anime; 00_Cannons_CK_Metadata.xlsx#CACK; 00_Cannons_CK_Metadata.xlsx#CANNONS Impacts; 00_Cannons_DS_Metadata.xlsx#CANNONS Impacts; 00_Casual_UI_CK_Metadata.xlsx#CK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
second,Second,token,unknown,1021,1024,3,5,reject,record_count>=1000 +25; unknown_generic_token -20; policy=unknown,fx_name=0; description=17; keywords=3; filename=0,"{""fx_name"":"""",""description"":""Fast exterior passby with clacking parts and rattling elements. Stereo Encoded from Double M/S."",""category"":""Vehicles/Trains"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Fast exterior passyby with clacking and rattling parts. Stereo Encoded from Double M/S."",""category"":""Vehicles/Trains"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Fast exterior passby with squeaks at the beginning followed by clacking. Stereo Encoded from Double M/S."",""category"":""Vehicles/Trains"",""cat_id"":""""}",GUNRif; GUNAuto; FIREGas; CLOTHMvmt,GUNS/RIFLE; Vehicles/Trains; GUNS/AUTOMATIC; COMMUNICATIONS/TYPEWRITER; MECHANICAL/CLICK,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; Trains_Stereo.xlsx#Trains - Stereo; 00_Cyber_Weapons_CK_Metadata.xlsx#CWCK; 00_Magic_Alchemy_CK_Metadata.xlsx#MALCK; 00_Mutate_Organic_CK.xlsx#MOCK,0,17,3,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
weapons,Weapons,token,unknown,1014,1014,3,5,reject,record_count>=1000 +25; unknown_generic_token -20; policy=unknown,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""Noisy Electric Storm"",""description"":""Space war, laser weapons, electric charge bombardment."",""category"":""SCIFI/ENERGY"",""cat_id"":""SCIEnrg""}","{""fx_name"":""AVS 36 Single Shot 0m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. Lavalier attached to the collar of the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 100m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. X/Y handheld recorder positioned 100m from the shooter position in a nearby forest. Second…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}",GUNRif; GUNAuto; SCIEnrg,GUNS/RIFLE; GUNS/AUTOMATIC; SCIFI/ENERGY,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK; 00_MATTER_Metadata.xlsx#MATTER,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
wwii,Wwii,token,unknown,1013,1013,3,0,reject,record_count>=1000 +25; library_context -25; policy=hard_reject,fx_name=0; description=20; keywords=0; filename=0,"{""fx_name"":""AVS 36 Single Shot 0m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. Lavalier attached to the collar of the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 100m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. X/Y handheld recorder positioned 100m from the shooter position in a nearby forest. Second…"",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}","{""fx_name"":""AVS 36 Single Shot 20m"",""description"":""Gas operated semi automatic rifle, cal 7.62x54r. ORTF3D positioned 20m behind the shooter. Second World War, WWII Weapons."",""category"":""GUNS/RIFLE"",""cat_id"":""GUNRif""}",GUNRif; GUNAuto,GUNS/RIFLE; GUNS/AUTOMATIC,00_WWII_Firearms_CK_Metadata.xlsx#WWII Firearms CK,0,20,0,0,low,low,weak,existing_unknown,no,description_only;category_mismatch;duplicate_examples;rejected_evidence
motion,Motion,token,unknown,999,1010,3,15,reject,record_count>=500 +20; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown,fx_name=4; description=0; keywords=16; filename=0,"{""fx_name"":""Gritty Motion Dirty"",""description"":""Coarse and dynamic sound with a dirty texture."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""""}","{""fx_name"":""Slow Motion"",""description"":""Low and noisy wobbling elements movement with mid frequency zaps and cracks throughout. Constant movement with mostly low end."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Incendiary Motion"",""description"":""Flowing fire trail igniting with fluid, controlled combustion."",""category"":""MAGIC/SPELL"",""cat_id"":""MAGSpel""}",DSGNMisc; WHSH; MAGSpel,DESIGNED/MISC; SWOOSHES/WHOOSH; MAGIC/SPELL; DESIGNED/SYNTHETIC,00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Magic_Alchemy_DS_Metadata.xlsx#MALDS; 00_Cinematic_Impacts_CK_Metadata.xlsx#CICK; 00_Cinematic_Motion_Metadata_DS.xlsx#CMDS,4,0,16,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
frequency,Frequency,token,unknown,951,988,3,0,reject,record_count>=500 +20; appears_in_fx_name +15; mic_spec -40; policy=hard_reject,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""Frequency Bending"",""description"":""Short, dynamic sharp accent characterized by frequency modulation, producing a warping effect."",""category"":""DESIGNED/SYNTHETIC"",""cat_id"":""DSGNSynth""}","{""fx_name"":""Frequency Filtered Liquid"",""description"":""Rapid-moving sound with a frequency-filtered fluid effect."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}","{""fx_name"":""Frequency Modulated Madness"",""description"":""Extended movement with intense frequency modulation."",""category"":""DESIGNED/MISC"",""cat_id"":""DSGNMisc""}",DSGNMisc; DSGNTonl; WHSH; DSGNSynth; DSGNWhsh,DESIGNED/MISC; DESIGNED/TONAL; SWOOSHES/WHOOSH; DESIGNED/SYNTHETIC; DESIGNED/WHOOSH,00_Anime_Essentials_Metadata.xlsx#Anime; 00_Cinematic_Motion_Metadata_CK.xlsx#CMCK; 00_Casual_UI_CK_Metadata.xlsx#CK; 00_Cinematic_Expressions_CK_Metadata.xlsx#CXCK Metadata; 00_Superheroes_Speed_and_Strength_CK_Metadata.xlsx#SHCK,20,0,0,0,medium,high,weak,existing_unknown,no,category_mismatch;duplicate_examples;rejected_evidence
light,Light,token,unknown,929,1242,3,15,reject,record_count>=500 +20; appears_in_fx_name +15; unknown_generic_token -20; policy=unknown; governed_aliases=1,fx_name=20; description=0; keywords=0; filename=0,"{""fx_name"":""City Harbor Marina Seafront Light Rain Spain"",""description"":""MARSEILLES - City marina on the seafront. Water waves splatter, slight rain and rattling / creaking yachts throughout. Occasional seagulls."",""category"":""AMBIENCE/SEASIDE"",""cat_id"":""AMBSea""}","{""fx_name"":""Empty Bay Light Waves Distant Harbor Germany"",""description"":""Empty bay with distant harbour. Waves lapping, seagull calls and distant industrial boat noises throughout."",""category"":""AMBIENCE/SEASIDE"",""cat_id"":""AMBSea""}","{""fx_name"":""Town Cliffs Light Tower England"",""description"":""DOVER - Calm cliffs with lighthouse. Water waves splatter, ocean hum and crickets throughout. Occasional fly buzz and seagulls. Plane at ti…"",""category"":""AMBIENCE/SEASIDE"",""cat_id"":""AMBSea""}",AMBTrop; STORM; AMBSea; RAINVege; THUN,AMBIENCE/TROPICAL; WEATHER/STORM; AMBIENCE/SEASIDE; RAIN/VEGETATION; WEATHER/THUNDER,00_3DS14_Thunderstorm_Chaser_Stereo_Metadata.xlsx#3DS14 Stereo; 00_3DS13_Tropical_Jungle_Stereo_Metadata.xlsx#3DS13 Tropical Stereo; 00_3DS07_European_Life_Metadata_Stereo.xlsx#3DS07 European Life 2.0,20,0,0,0,medium,high,weak,existing_keep,no,category_mismatch;rejected_evidence
antique,Antique,token,unknown,881,949,3,0,reject,record_count>=500 +20; unknown_generic_token -20; policy=unknown,fx_name=0; description=0; keywords=20; filename=0,"{""fx_name"":"""",""description"":""Recording of antique cabin door being opened and closed. Light squeaks. Stereo."",""category"":""Vehicles/Trains"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Antique kitchen cabin door lock. Short snapping sound with squeaking parts. Stereo."",""category"":""Vehicles/Trains"",""cat_id"":""""}","{""fx_name"":"""",""description"":""Antique kitchen cabin door being opened and closed. Clacking sounds. Stereo."",""category"":""Vehicles/Trains"",""cat_id"":""""}",,Vehicles/Trains,Trains_Stereo.xlsx#Trains - Stereo,0,0,20,0,medium,high,weak,existing_unknown,no,category_mismatch;rejected_evidence
