raw,canonical,slot,lang,priority,rule_type,review_status,ambiguity,tags,source,note,review_batch,review_risk,review_action,review_reason,decision_recommendation,decision_reason,conflict_group
冲击声,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;general impact sound,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review,
重物撞击声,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;heavy object impact,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review,
碰击声,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;contact impact,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review;raw_multi_canonical_conflict,raw_conflict_001
砸击声,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;smashing impact,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review,
摩擦声,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;general friction sound,batch_safe,low,pending,standard_alias_review,accept_candidate,safe_low_risk;standard_alias_review,
擦蹭声,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;surface rubbing,batch_safe,low,pending,standard_alias_review,accept_candidate,safe_low_risk;standard_alias_review,
磨蹭声,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;slow rubbing,batch_safe,low,pending,standard_alias_review,accept_candidate,safe_low_risk;standard_alias_review,
表面摩擦音,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;surface friction audio,batch_safe,low,pending,standard_alias_review,accept_candidate,safe_low_risk;standard_alias_review,
枪械,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;generic firearm object,batch_weapon,high,pending,weapon_object_high_risk,needs_review,weapon_batch_default;weapon_object_high_risk,
枪支,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;common firearm object,batch_weapon,high,pending,weapon_object_high_risk,needs_review,weapon_batch_default;weapon_object_high_risk,
火器,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;firearm class,batch_weapon,high,pending,weapon_object_high_risk,needs_review,weapon_batch_default;weapon_object_high_risk,
枪炮,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;gun and cannon class,batch_weapon,high,pending,weapon_object_high_risk,needs_review,weapon_batch_default;weapon_object_high_risk;broad_weapon_term,
枪声,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;gunshot sound,batch_weapon,high,pending,weapon_action_high_risk,needs_review,weapon_batch_default;weapon_action_high_risk,
炮击声,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;cannon shot sound,batch_weapon,high,pending,weapon_action_high_risk,needs_review,weapon_batch_default;weapon_action_high_risk,
开火声,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;weapon firing sound,batch_weapon,high,pending,weapon_action_high_risk,needs_review,weapon_batch_default;weapon_action_high_risk,
发射声,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;projectile firing sound,batch_weapon,high,pending,weapon_action_high_risk,needs_review,weapon_batch_default;weapon_action_high_risk;too_broad_weapon_action,
铁链,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;iron chain object,batch_safe,low,pending,standard_alias_review,accept_candidate,safe_low_risk;standard_alias_review,
锁链,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;locking chain object,batch_safe,low,pending,standard_alias_review,accept_candidate,safe_low_risk;standard_alias_review,
链条声,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;chain movement sound,batch_safe,low,pending,standard_alias_review,needs_review,safe_low_risk;standard_alias_review;object_slot_sound_event,
铁链晃动声,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;moving chain sound,batch_safe,low,pending,standard_alias_review,needs_review,safe_low_risk;standard_alias_review;object_slot_sound_event,
开门声,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door opening sound,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review;object_slot_sound_event,
关门声,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door closing sound,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review;object_slot_sound_event,
门板响,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door panel sound,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review;object_slot_sound_event,
门轴吱响,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door hinge squeak,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review;object_slot_sound_event,
坠落声,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;falling sound,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review,
落地声,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;landing sound,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review,
坠地声,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;object hitting ground,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review,
跌落声,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;object drop sound,batch_safe,medium,pending,standard_alias_review,needs_review,safe_medium_risk;standard_alias_review,
振铃声,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;ringing tone,batch_caution,medium,pending,tonal_ambience_possible,needs_review,caution_batch_default;tonal_ambience_possible,
余响,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;ringing decay,batch_caution,medium,pending,tonal_ambience_possible,needs_review,caution_batch_default;tonal_ambience_possible;tonal_tail_or_reverb_possible,
回响声,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;resonant ring,batch_caution,medium,pending,tonal_ambience_possible,needs_review,caution_batch_default;tonal_ambience_possible;tonal_tail_or_reverb_possible,
金属回荡,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;metallic ringing tail,batch_caution,medium,pending,tonal_ambience_possible,needs_review,caution_batch_default;tonal_ambience_possible;tonal_tail_or_reverb_possible,
