en,zh,term_type,action,note
cuck,,device,never_translate,freq=560;批002;库前缀不译
bunretsu,分节,keyword,translate,freq=560;批002;日语分节标记
sustain,延音,keyword,translate,freq=559;批002;延音
strongtransient,强瞬态,keyword,translate,freq=558;批002;强瞬态冲击
cxck,,device,never_translate,freq=554;批002;库前缀不译
mbtg,,device,never_translate,freq=554;批002;库前缀不译
shck,,device,never_translate,freq=549;批002;库前缀不译
clothes,衣物,keyword,translate,freq=546;批002;衣物摩擦
longcompoundbow,复合长弓,keyword,translate,freq=538;批002;复合长弓
ak74,,device,never_translate,freq=538;批002;枪型码不译
qp08,,device,never_translate,freq=384;批003;录音项目码不译
decid,落叶林,keyword,translate,freq=384;批003;落叶林缩写
espresso,浓缩咖啡,keyword,translate,freq=381;批003;意式咖啡机
scanning,扫描,keyword,translate,freq=379;批003;扫描声
forests,森林,keyword,translate,freq=378;批003;森林环境
carabiner,登山扣,keyword,translate,freq=376;批003;快挂
audi,奥迪,keyword,translate,freq=374;批003;奥迪车型
revving,轰油门,keyword,translate,freq=371;批003;引擎轰油门
warm,温暖,keyword,translate,freq=369;批003;温暖音色
ortf3d,,device,never_translate,freq=368;批003;ORTF3D录音制式
orc,兽人,keyword,translate,freq=367;批003;兽人角色
uaz,嘎斯,keyword,translate,freq=367;批003;苏式UAZ车
qp11,,device,never_translate,freq=362;批003;录音项目码不译
conif,针叶林,keyword,translate,freq=362;批003;针叶林缩写
croak,蛙鸣,keyword,translate,freq=360;批003;青蛙叫声
inserting,插入,keyword,translate,freq=360;批003;插入动作
leatherrest,皮托,keyword,translate,freq=360;批003;弓弦皮托
alt2,,device,never_translate,freq=354;批003;备用版本码
whip-panning,甩镜,keyword,translate,freq=354;批003;快速摇镜
wipe,划变,keyword,translate,freq=350;批003;转场划像
parquet,木地板,keyword,translate,freq=333;批003; parquet地板
punchy,冲击感,keyword,translate,freq=327;批003; punchy音色
accelerating,加速,keyword,translate,freq=318;批003;加速
pillow,枕头,keyword,translate,freq=316;批003;枕头
ueds,,device,never_translate,freq=336;批003;库前缀不译
gaz,嘎斯,keyword,translate,freq=314;批003;嘎斯货车
volkswagen,大众,keyword,translate,freq=313;批003;大众车型
drawing,拉弦,keyword,translate,批003体验;弓拉弦
Hi,,device,never_translate,录音 Hi 电平不译
Lo,,device,never_translate,录音 Lo 电平不译
FIRING,,keyword,never_translate,filename 字段不译
Pounder,,keyword,never_translate,16 Pounder 炮名不译
